generation,fitness,chromosome
0,0.9998277401231783,"1,3,3,3,0,2,1,1,2,2,1,1,3,2,3,0,2,3,1,0,1,0,2,0,2,2,1,0,1,1,3,1,3,1,0,1,2,0,1,3,1,3,2,0,3,0,1,2,3,2,0,2,0,1,1,0,3,1,0,0,0,1,0,2,1,0,0,2,0,0,1,3,2,1,1,2,2,3,1,3,1,3,2,3,0,0,2,0,2,0,0,1,0,1,0,1,0,3,2,2,1,1,1,3,3,3,3,2,1,2,3,1,0,0,3,1,2,0,2,0,3,2,3,2,1,3,3,2,1,2,2,2,3,0,2,2,1,2,3,1,2,3,1,0,3,3,0,0,0,3,0,0,3,1,3,3,0,1,1,1,3,1,0,3,1,3,1,0,1,0,0,3,0,1,2,2,3,2,1,1,3,2,0,3,3,0,1,3,1,1,0,2,3,2,2,2,0,1,1,3,3,3,2,2,0,2,3,1,1,0,1,3,0,1,2,0,1,3,3,0,2,1,2,1,0,3,3,0,2,0,0,0,0,2,0,1,0,2,3,3,2,0,0,0,2,0,1,3,2,1,2,3,2,3,3,0,2,1,1,3,3,0,1,2,1,1,2,1,3,3,0,3,3,3,1,2,3,2"
1,1.0008451366038165,"1,3,3,3,0,2,1,1,2,2,1,2,3,2,3,0,1,2,0,1,0,0,2,2,1,3,1,0,0,1,3,2,2,1,3,1,0,1,3,2,2,3,0,1,1,0,0,2,3,0,2,2,1,1,1,0,3,1,2,0,1,1,1,2,1,1,3,2,3,3,2,1,2,3,3,0,3,2,1,0,3,0,1,1,1,1,3,3,0,3,1,1,2,0,3,2,3,2,3,3,1,1,3,3,1,3,0,0,2,3,0,2,1,3,0,0,2,3,1,0,1,2,0,1,0,0,3,0,2,1,1,2,3,3,0,3,1,0,2,3,3,3,1,0,3,0,3,1,1,2,1,0,2,0,2,0,3,2,2,2,1,2,1,2,1,2,2,3,0,2,3,1,2,2,3,0,3,1,0,3,0,0,0,2,2,2,1,2,0,3,2,3,3,0,3,3,2,3,3,3,1,0,0,1,2,0,0,0,2,3,0,1,3,2,3,2,0,3,0,3,1,0,3,0,2,3,2,0,0,1,0,2,1,1,1,0,2,2,0,2,3,3,1,2,1,0,3,0,3,3,3,1,2,0,3,2,3,2,1,2,0,2,2,3,3,1,2,2,1,0,0,3,1,3,1,1,1,0"
2,1.0022795365775834,"1,3,3,3,0,2,1,1,2,2,1,2,3,2,3,0,1,2,0,1,0,0,2,2,1,3,1,0,0,1,3,2,2,1,3,1,0,1,3,2,2,3,0,1,1,0,0,2,3,0,2,2,1,1,1,0,3,1,2,0,1,1,1,2,1,1,3,2,0,3,1,3,1,0,1,0,0,2,3,0,0,0,2,1,1,0,2,2,2,0,0,1,0,2,0,2,1,2,0,0,1,3,2,2,1,2,1,2,1,2,3,1,2,3,2,0,2,1,3,3,3,0,3,3,1,2,1,0,0,1,2,3,2,0,2,3,0,3,3,3,2,3,1,1,3,3,3,0,1,1,3,3,0,3,3,1,3,2,1,1,0,2,0,0,1,3,3,2,1,0,3,3,1,0,0,1,3,3,2,1,3,3,2,0,0,2,3,1,0,2,3,2,2,1,0,3,3,1,1,3,3,3,3,1,2,1,1,3,3,3,3,1,0,0,1,0,0,3,1,2,1,2,1,2,1,1,1,1,1,1,1,3,2,1,2,2,2,1,3,3,2,0,3,0,2,2,0,0,2,1,2,0,1,2,2,1,1,3,3,0,1,3,1,2,1,3,2,0,2,1,3,2,2,0,3,3,1,2"
3,1.0030274893917832,"1,3,3,3,1,0,0,1,3,1,3,0,1,3,1,3,0,2,2,1,2,3,1,3,0,0,0,1,0,2,0,1,1,0,1,3,0,1,2,2,0,1,1,3,2,3,3,3,1,1,1,1,1,0,1,0,0,2,2,1,3,2,1,1,0,1,3,2,0,0,1,3,1,2,1,1,0,2,3,0,0,3,2,1,1,0,2,2,2,0,2,1,0,2,0,2,1,2,0,0,1,1,0,1,1,2,1,2,1,1,3,1,2,3,2,1,2,1,1,2,2,1,0,1,2,1,2,2,1,2,0,2,2,0,0,2,0,1,0,1,0,0,2,0,1,1,0,0,3,3,3,2,0,2,1,1,2,2,1,0,1,1,1,0,2,3,0,0,0,1,2,3,2,1,2,2,2,1,2,3,0,0,3,0,2,3,1,2,2,3,2,2,2,0,2,2,1,0,3,1,2,0,1,3,0,3,3,0,1,3,2,2,3,3,3,2,1,0,1,1,2,1,1,2,2,1,3,0,0,0,1,1,1,0,3,2,0,0,2,0,1,2,2,2,3,3,2,0,0,1,0,2,0,0,1,1,1,0,1,1,0,2,2,2,1,2,2,1,1,2,2,2,3,3,3,2,0,2"
4,1.0046862009776008,"1,3,3,3,1,0,0,1,3,1,3,0,1,0,1,3,0,2,2,1,2,2,1,3,0,0,0,1,0,2,0,1,3,3,1,3,0,1,0,2,0,1,1,0,2,3,0,3,1,1,0,1,1,0,1,0,1,0,3,1,3,2,1,1,0,1,3,1,0,3,3,3,1,2,1,1,0,2,3,3,0,3,2,1,1,0,1,2,2,0,2,1,0,2,0,2,2,2,0,2,0,1,0,1,3,2,2,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,0,1,2,1,2,2,3,2,0,2,2,0,0,2,0,1,0,1,0,0,2,0,1,1,0,2,0,3,3,2,0,1,1,1,1,2,1,0,0,1,1,0,2,3,0,0,0,1,2,3,2,1,2,2,2,1,2,2,0,0,3,0,2,3,1,2,3,3,1,2,2,0,2,2,1,0,3,1,2,0,1,3,0,3,1,0,1,3,2,2,3,3,3,2,1,0,1,1,1,1,1,2,1,1,3,0,0,0,1,1,1,0,3,2,0,0,2,0,3,2,2,0,3,3,2,2,0,1,0,1,0,0,3,1,1,0,1,1,2,2,2,2,0,2,2,1,1,2,2,2,3,3,3,2,0,2"
5,1.0067855738073388,"1,3,3,3,1,0,0,1,3,1,3,0,1,0,1,3,0,2,2,1,2,2,1,3,0,0,0,1,0,2,0,1,3,3,1,3,0,1,0,2,0,1,1,0,1,3,0,3,1,1,0,1,1,0,1,0,1,0,3,1,3,2,1,1,0,1,3,1,0,3,3,3,1,2,0,1,0,2,3,3,0,3,2,1,1,0,1,2,2,0,2,1,0,0,0,2,2,2,0,2,0,1,0,1,3,2,2,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,2,1,3,1,2,2,3,2,0,1,2,0,0,2,0,1,0,1,0,0,2,0,1,1,0,2,1,3,3,2,0,1,1,1,1,2,1,0,0,1,1,2,2,3,0,0,0,1,2,3,2,1,2,2,2,1,2,2,0,0,3,2,2,1,3,2,3,2,2,2,2,0,2,2,1,2,3,0,3,0,0,2,0,1,0,0,0,3,2,2,1,3,0,3,1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,0,1,0,0,2,2,2,0,2,2,0,3,2,2,0,1,2,0,0,0,2,1,1,1,3,2,1,2,2,2,3,0,2,1,1,1,2,2,0,0,1,3,2,1,2"
6,1.0070704524911962,"1,3,3,3,1,0,0,1,3,1,3,0,1,0,1,3,0,2,2,1,2,2,1,3,0,0,0,1,0,2,0,1,3,3,1,3,3,1,0,2,0,1,1,0,1,3,0,1,1,1,0,1,1,0,1,0,1,0,3,1,3,2,1,1,0,1,3,1,0,3,3,3,1,2,0,1,0,0,3,3,0,3,2,1,1,0,1,2,2,0,2,1,0,0,0,2,2,2,0,3,0,1,0,1,3,2,2,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,2,1,3,1,2,2,3,2,0,1,2,0,0,2,0,1,0,1,0,0,2,0,1,1,0,3,1,3,3,2,0,1,1,1,1,2,1,0,0,1,1,2,2,3,0,0,0,1,2,3,3,1,2,2,2,1,2,2,0,0,3,2,2,1,3,2,3,2,2,2,1,0,2,2,1,2,3,0,3,0,0,2,0,1,0,0,0,3,2,2,1,3,0,3,1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,0,1,0,0,2,2,2,0,2,2,0,3,2,2,0,1,2,0,0,0,2,1,1,1,3,2,1,2,2,2,3,0,0,1,1,1,2,2,0,0,1,3,2,1,2"
7,1.0078168398481915,"1,3,3,3,1,0,2,1,3,1,3,0,1,0,1,3,0,2,2,1,2,2,1,3,0,0,1,1,0,2,0,1,3,3,1,3,3,2,0,2,0,1,1,0,1,3,0,3,1,1,0,1,1,0,1,0,1,0,3,0,3,2,1,1,0,1,3,1,0,3,3,3,1,2,0,1,0,2,3,3,0,3,2,1,1,1,1,2,2,0,0,1,0,0,0,2,1,2,0,3,1,1,0,1,3,2,2,2,1,3,2,1,3,3,2,1,2,1,1,2,2,2,2,1,1,1,3,2,3,2,0,1,2,0,0,3,0,1,0,1,0,0,2,3,1,3,0,3,1,3,3,2,0,1,1,1,1,2,1,0,0,1,1,1,2,3,2,0,0,1,2,3,3,1,2,2,2,1,1,2,0,0,0,2,2,1,1,2,1,2,2,1,1,0,2,2,3,2,3,0,3,0,1,2,0,1,0,0,0,3,0,2,1,3,0,3,1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,0,1,0,0,2,2,2,0,2,2,0,3,2,0,0,1,2,0,0,0,2,1,1,1,3,1,1,2,2,2,3,0,0,1,1,1,2,2,3,0,1,3,2,1,2"
8,1.0081310206394776,"2,3,3,3,1,0,2,1,3,1,3,0,1,0,2,3,0,2,1,1,2,2,1,2,0,2,1,2,2,2,0,1,3,3,1,0,3,2,3,2,2,1,1,0,0,3,3,3,1,1,0,1,1,0,1,0,1,1,3,0,3,1,1,1,0,1,3,1,0,3,3,3,1,2,0,1,0,2,3,3,0,3,2,1,1,0,1,2,2,2,2,1,0,0,0,2,2,1,0,2,0,1,0,1,3,2,3,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,2,1,3,1,2,2,3,2,0,1,2,0,0,2,3,1,0,1,0,0,1,0,1,1,0,1,1,3,3,2,0,1,1,1,1,2,1,0,0,1,1,2,2,3,0,0,0,1,2,3,3,1,2,2,2,1,2,2,0,0,0,2,1,1,3,0,3,2,2,2,1,0,2,2,1,3,3,0,3,1,2,2,0,1,0,0,3,3,2,2,2,3,0,3,1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,0,1,0,1,2,2,2,0,0,2,3,3,2,2,0,1,2,0,0,0,0,1,1,1,2,2,1,2,2,1,3,0,0,2,1,1,2,2,0,0,1,3,2,1,2"
9,1.0091189433698697,"2,3,2,1,1,1,2,1,3,1,3,0,1,0,2,3,3,2,1,1,2,2,1,2,0,2,1,2,2,2,0,1,3,3,2,0,3,2,3,2,2,1,1,0,0,3,3,3,1,1,0,1,1,0,1,0,1,1,3,2,3,1,1,1,0,1,3,1,0,3,3,3,1,2,0,1,0,2,3,3,0,3,2,1,1,0,1,2,2,2,2,1,0,0,0,2,2,1,0,2,0,1,0,1,3,2,0,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,2,1,3,1,2,2,3,2,0,1,2,0,0,2,3,1,0,1,0,0,1,0,1,1,0,1,1,3,3,2,0,1,1,1,1,2,1,0,0,1,1,2,2,3,0,0,0,1,2,3,3,1,2,2,2,1,2,2,0,0,0,2,1,1,3,0,3,2,2,0,1,0,2,2,1,3,3,0,3,1,2,3,0,1,0,0,3,3,2,2,2,3,0,3,1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,2,1,0,1,0,0,2,2,2,0,1,2,3,3,2,2,0,1,2,0,0,0,0,1,1,1,2,2,1,2,2,1,3,0,0,2,1,1,2,2,0,0,1,3,2,1,2"
