generation,fitness,chromosome
0,1.3670843214157455,"3,2,3,2,3,0,0,2,3,3,0,2,2,1,0,1,0,0,0,2,2,3,3,2,2,3,3,3,2,1,0,3,0,3,0,0,3,0,2,2,0,0,1,3,1,3,3,0,1,0,0,3,3,2,0,0,0,3,1,0,1,3,2,3,1,3,1,2,0,3,3,1,3,2,0,3,3,2,1,0,2,1,2,2,1,0,1,0,3,2,3,3,2,2,2,3,0,3,0,3,2,3,3,1,1,3,0,1,3,2,0,1,0,1,1,1,2,1,0,2,0,1,1,3,1,0,0,1,3,2,1,2,1,0,1,2,1,2,0,0,2,2,0,2,2,1,3,2,1,2,0,3,2,3,2,2,1,3,0,2,1,3,0,1,2,2,1,2,2,3,2,3,3,1,3,1,2,0,3,2,0,1,2,0,1,3,2,1,0,1,2,1,1,1,0,0,3,2,1,1,2,1,1,1,0,0,0,2,1,0,3,0,2,1,3,1,3,0,0,2,1,3,1,2,2,2,2,3,0,0,1,1,2,2,1,2,1,0,1,0,1,0,3,1,2,2,1,2,2,1,0,0,0,1,1,3,3,1,1,0,0,3,0,0,3,3,0,2,0,2,2,3,2,0,2,0,1,3"
1,1.3675999868152258,"3,2,2,2,3,0,0,2,3,3,0,2,2,1,0,1,0,0,0,2,2,3,3,2,2,3,3,3,2,1,0,3,0,3,0,0,3,0,2,2,0,0,1,3,1,3,3,0,1,3,0,3,3,2,0,0,0,3,1,0,1,3,2,3,1,3,1,2,0,3,3,1,3,2,0,3,3,2,1,0,2,1,2,0,1,0,1,0,3,2,3,3,2,2,2,3,0,3,0,3,2,3,3,1,1,3,0,1,3,2,0,1,0,1,1,1,2,1,0,2,0,1,1,3,1,0,0,1,3,2,1,0,1,0,2,2,1,2,0,0,1,2,0,2,2,1,3,2,1,2,0,3,2,0,2,2,1,3,0,2,1,3,0,1,2,2,1,2,2,3,2,3,3,1,3,0,2,0,3,2,0,1,2,0,1,3,2,1,0,1,2,1,1,1,0,0,3,2,1,1,2,1,1,1,0,0,0,2,1,0,3,1,2,1,3,1,2,0,0,2,1,3,1,2,2,2,2,3,0,0,1,1,2,2,1,2,1,0,1,3,1,1,3,1,2,2,1,2,2,1,0,0,0,1,1,0,2,0,3,2,3,0,2,2,1,3,2,0,3,0,0,3,3,3,3,3,1,2"
2,1.3671892834747925,"3,2,2,2,3,0,0,2,3,3,0,2,2,1,0,1,0,0,0,2,0,3,3,2,2,3,3,3,2,1,0,3,0,3,0,0,3,0,2,2,0,0,1,3,3,3,3,0,1,3,0,3,3,2,3,0,0,3,1,0,1,3,2,3,1,3,1,2,0,3,3,1,3,2,0,3,3,2,1,0,2,1,2,0,1,0,1,0,3,2,3,3,2,2,2,3,0,3,0,3,2,3,3,1,1,3,0,1,3,2,0,1,0,1,1,1,2,1,0,2,0,1,1,3,1,0,2,1,3,2,1,0,1,0,2,2,1,2,0,0,1,2,0,2,2,1,3,2,1,2,0,3,2,0,2,2,1,3,0,2,1,3,0,1,2,2,1,2,2,3,2,3,3,1,3,0,2,0,3,2,0,1,2,0,1,3,2,1,0,1,2,1,1,1,0,0,3,2,1,1,0,1,1,1,0,0,0,2,1,0,3,1,2,3,3,1,2,0,0,2,1,3,1,2,2,2,2,3,0,0,1,1,2,2,1,2,1,0,1,3,1,1,3,1,2,2,1,2,2,1,0,0,0,1,1,0,2,0,3,2,3,0,2,3,1,3,2,0,3,0,0,3,3,3,3,3,1,2"
3,1.3673411636518553,"3,2,2,2,3,0,0,2,3,3,0,2,2,1,0,1,0,0,3,3,2,1,2,2,1,3,3,3,3,3,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,3,2,3,1,1,0,3,2,0,2,3,0,3,3,1,3,1,3,0,3,2,0,1,3,0,2,3,2,2,1,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,2,1,2,0,2,3,1,3,2,2,0,2,1,2,2,3,3,0,3,0,0,1,1,0,2,1,2,2,0,1,2,2,2,0,2,3,1,1,1,3,3,0,1,2,1,1,3,2,3,2,2,3,2,1,2,1,3,1,1,1,1,3,3,0,1,2,3,2,0,3,3,3,3,0,1,3,3,3,0,2,0,1,0,2,0,2,2,0,0,1,2,1,1,2,2,1,1,1,1,1,2,0,2,1,3,2,0,0,2,1,0,3,1,3,3,3,2,1,1,0,1,1,3,3,2,0,2,3,2,2,2,2,2,0,0,3,0,0,3,2,1,0,1,2,2,0,3,2,1,2,1,2,2,2,2,2,0,2,2,2,1,3,0,1,3"
4,1.3720499655500293,"3,2,2,2,3,0,0,2,3,3,0,2,2,1,0,1,0,0,3,3,2,1,2,2,1,3,3,3,3,3,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,3,2,3,1,1,0,3,2,0,2,3,0,3,3,1,3,1,3,0,3,2,0,1,3,0,2,3,2,2,1,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,2,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,3,1,0,1,2,0,3,2,2,0,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,3,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,1,0,1,2,1,2,0,1,0,0,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,0,1,0,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,0,0,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
5,1.3722639617126675,"3,2,2,2,3,1,2,2,1,0,1,2,2,2,2,3,3,2,1,0,1,0,1,1,2,0,3,2,3,3,0,1,3,3,2,1,1,3,3,1,1,2,2,3,0,1,2,2,1,1,3,1,1,2,3,0,2,2,0,1,2,1,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,1,3,2,3,1,3,2,0,2,0,0,0,3,2,3,0,3,2,2,0,0,1,1,0,0,0,1,3,1,2,2,3,3,0,2,1,1,2,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,3,1,0,1,2,0,3,2,2,0,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,3,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,1,0,1,2,1,2,0,1,0,0,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,0,1,0,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,0,0,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
6,1.3732011115740954,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,2,1,0,1,0,1,3,1,3,3,3,0,3,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,3,2,3,1,1,0,3,2,0,2,3,0,3,3,1,3,1,3,0,3,2,0,0,3,0,2,3,2,2,2,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,2,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,3,1,0,1,2,0,3,2,0,0,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,3,0,3,0,1,3,2,1,2,2,3,0,2,3,0,2,3,1,0,2,3,3,3,2,2,1,2,0,1,0,1,2,1,2,0,1,0,0,0,2,0,2,2,0,3,2,2,0,0,0,2,3,3,3,2,0,0,3,2,2,0,1,0,2,1,2,2,2,3,0,2,2,0,2,2,3,2,0,3,1,3,0,3,0,2,0,3,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
7,1.3742487584479885,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,3,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,3,2,3,1,1,0,3,2,0,2,3,0,3,3,1,2,1,3,0,3,2,0,0,3,0,2,3,2,2,1,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,2,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,1,0,1,2,1,2,0,1,0,3,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,1,0,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,0,0,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
8,1.374152143313563,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,3,2,3,1,1,0,3,2,0,2,3,0,3,3,1,2,1,3,0,3,2,0,0,3,0,2,3,2,2,1,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,1,3,2,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,0,1,2,0,1,0,1,2,1,2,0,1,0,3,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,2,0,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,0,0,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
9,1.375191091609301,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,2,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,1,0,1,2,1,2,0,1,0,3,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,1,0,2,2,2,2,3,3,0,2,0,2,2,0,3,2,2,3,1,3,0,3,0,2,0,0,3,2,2,0,2,0,2,2,3,0,2,2,1,2,1,2,0,0"
10,1.3744694403361801,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,2,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,0,0,1,2,1,2,0,1,0,0,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,0,3,2,2,0,1,0,2,2,2,2,3,3,0,2,2,2,1,0,3,2,2,3,1,3,0,3,0,2,3,1,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
11,1.3745097908359376,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,0,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,2,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,0,3,0,1,3,2,1,2,2,3,0,2,3,2,2,3,1,0,2,3,3,3,2,2,1,2,0,0,0,1,2,1,2,0,1,0,0,1,2,0,2,2,0,3,2,2,0,0,0,0,3,3,3,2,0,2,3,2,2,0,1,0,2,2,2,2,3,3,0,2,2,2,1,0,3,2,2,3,1,3,0,3,0,2,3,1,3,2,2,0,2,0,2,2,3,0,2,2,1,3,1,2,0,0"
12,1.376860631022716,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,1,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,1,0,0,0,0,3,1,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,2,3,2,3,3,1,2,0,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,2,3,2,2,3,0,2,3,2,2,3,0,0,2,3,3,3,1,2,1,2,0,1,0,1,2,1,2,0,1,0,3,1,3,0,2,1,0,2,3,2,0,0,2,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,2,0,3,2,2,3,2,0,2,2,0,0,2,2,2,2,1,2,0,0"
13,1.376871678139887,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,1,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,1,0,3,0,2,3,0,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,3,2,3,2,3,3,3,3,3,1,2,1,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,2,3,2,2,3,0,2,3,2,2,3,0,0,2,3,3,3,1,2,1,2,0,1,0,1,2,1,2,0,1,0,3,1,3,0,2,1,0,2,3,2,0,0,2,0,3,3,3,2,0,0,3,2,2,2,3,1,2,2,2,2,3,3,0,2,2,2,2,0,3,2,2,3,1,3,0,3,2,2,2,0,3,2,2,3,2,0,2,2,0,0,2,2,2,2,1,2,0,0"
14,1.3779737338730957,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,2,1,2,2,1,3,3,3,3,0,1,1,1,2,3,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,2,3,0,0,1,2,0,1,0,3,2,3,3,0,1,2,3,3,2,0,0,0,3,2,2,2,3,1,2,0,3,2,3,2,0,1,0,3,3,2,3,1,2,3,2,2,0,0,3,2,0,2,3,3,2,1,2,2,1,1,2,0,2,3,1,3,2,2,0,0,2,1,1,0,3,0,2,3,0,2,1,1,3,3,2,2,2,3,0,0,1,2,2,1,1,1,1,3,2,3,2,3,3,3,3,3,1,2,1,3,1,1,0,2,3,1,1,1,1,3,0,0,1,3,3,3,2,2,3,0,2,3,2,2,3,0,0,2,3,3,3,1,2,1,2,0,1,0,1,2,1,2,0,0,0,3,1,3,0,2,1,0,2,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,2,0,2,2,2,2,0,3,2,2,3,1,3,0,3,0,2,2,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
15,1.3794023111464442,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,3,0,2,2,3,3,3,3,3,3,1,1,1,2,0,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,1,3,2,2,0,3,0,0,3,2,2,3,3,1,0,3,2,0,2,3,3,3,3,1,3,1,1,0,3,3,0,0,3,0,2,3,2,2,1,1,0,3,3,3,3,1,2,3,3,1,0,3,3,2,3,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,3,0,2,3,0,2,1,1,3,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,2,3,2,3,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,3,3,2,2,3,0,2,3,2,3,3,3,0,2,3,3,3,0,2,1,2,0,1,0,1,2,0,2,0,1,0,3,1,2,0,2,2,0,3,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,3,2,2,2,0,3,2,2,3,1,3,0,3,0,2,1,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
16,1.3801660998225709,"3,2,2,2,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,3,0,2,2,3,3,3,3,3,3,1,1,1,2,0,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,1,3,2,2,0,3,0,0,3,2,2,3,3,1,0,3,2,0,2,3,3,3,3,1,3,1,1,1,3,3,0,0,3,0,2,3,2,2,1,1,0,3,3,3,3,1,2,3,3,1,0,3,3,2,3,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,2,0,3,0,2,3,0,2,1,1,3,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,3,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,3,3,2,2,3,0,2,3,2,3,3,3,0,2,3,3,3,0,2,1,2,0,1,0,1,2,0,2,0,1,0,3,0,2,0,2,2,0,3,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,3,2,2,2,0,3,2,2,3,1,2,0,3,0,2,1,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
17,1.3810172228345967,"3,2,2,3,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,3,0,2,2,3,3,3,3,3,3,1,1,1,2,0,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,1,3,2,2,0,3,0,0,3,2,2,3,3,1,0,3,2,0,2,3,3,3,3,1,3,1,1,1,3,3,0,0,3,0,2,3,2,2,1,1,0,3,3,3,3,1,2,3,3,1,0,3,3,2,3,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,1,0,3,0,2,3,0,2,1,1,3,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,3,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,3,3,2,2,3,0,2,3,2,3,3,3,0,2,3,3,3,0,2,1,2,0,1,0,1,2,0,2,0,1,0,3,0,2,0,2,2,0,3,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,3,2,2,2,0,3,2,2,3,1,2,0,3,0,2,1,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
18,1.3816124618450314,"3,2,2,3,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,3,0,2,2,3,3,3,3,3,3,1,1,1,2,0,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,0,0,3,2,2,0,3,0,0,3,2,2,3,3,1,0,3,2,0,2,3,3,3,3,1,3,1,1,1,3,3,0,0,3,0,2,3,2,2,1,1,0,3,3,3,3,1,2,3,3,1,0,3,3,2,3,2,3,3,2,0,2,2,3,2,2,0,2,3,1,3,2,2,0,0,2,1,1,0,3,0,2,3,0,2,1,1,3,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,3,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,3,3,2,2,3,0,2,3,2,3,3,3,0,2,3,3,3,0,2,1,2,0,1,0,1,2,0,2,0,1,0,3,0,2,0,2,2,0,3,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,3,2,2,2,0,3,2,2,3,1,2,0,3,0,2,1,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
19,1.3815527985005798,"3,2,2,3,3,1,2,2,1,0,1,0,2,2,2,3,3,0,3,3,3,0,2,2,3,3,3,3,3,3,1,1,1,2,0,1,1,0,3,1,2,3,2,0,0,1,1,2,1,2,1,0,3,2,2,0,3,0,0,3,2,2,3,3,1,0,3,2,0,2,3,3,3,3,1,3,1,1,1,3,3,0,0,3,0,2,3,2,2,1,1,0,3,3,3,1,1,2,3,3,1,0,3,3,2,3,2,3,3,2,0,2,2,3,1,2,0,2,3,1,3,2,2,0,0,2,1,1,0,3,0,2,3,0,2,1,1,3,2,2,2,2,3,0,0,1,2,2,1,1,1,1,2,0,3,2,3,3,3,3,3,1,2,2,3,1,1,0,2,3,1,1,1,1,3,3,0,1,3,3,3,2,2,3,0,2,3,2,3,3,3,0,2,3,3,3,0,2,1,2,0,1,0,1,2,0,2,0,1,0,3,0,2,0,2,2,0,3,3,2,0,0,0,0,3,3,3,2,0,0,3,2,2,2,3,0,2,2,2,2,3,3,0,3,2,2,2,0,3,2,2,3,1,2,0,3,0,2,1,0,3,2,2,3,2,0,2,2,3,0,2,2,2,2,1,1,0,0"
