subject_index,subject_name,cluster,distance_to_medoid
0,B_Australian-3,1,0.6367764393313946
1,B_Australian-4,1,0.6466866201088127
2,B_Crete-1,2,0.722379833530299
3,B_Crete-2,2,0.7074769359619004
4,B_Dai-4,4,0.701512271481266
5,B_Dinka-3,5,0.7796175292181802
6,B_French-3,2,0.7266125503371517
7,B_Han-3,4,0.7040906614071342
8,B_Ju_hoan_North-4,5,0.7906317497680846
9,B_Karitiana-3,3,0.6767240916381926
10,B_Mandenka-3,5,0.7675499457588991
11,B_Mbuti-4,5,0.7834416695638187
12,B_Mixe-1,3,0.6493148579376722
13,B_Papuan-15,1,0.5985239146477833
14,B_Sardinian-3,2,0.7259631294140695
15,B_Yoruba-3,5,0.7453315568418701
16,S_Abkhasian-1,2,0.7289099988402906
17,S_Abkhasian-2,2,0.7320654559629328
18,S_Adygei-1,2,0.745513875409943
19,S_Adygei-2,2,0.7432932541600998
20,S_Albanian-1,2,0.7594429326865728
21,S_Aleut-1,4,0.7349264978170132
22,S_Aleut-2,4,0.7579452393262334
23,S_Altaian-1,4,0.723830076742515
24,S_Ami-1,4,0.6968461240975842
25,S_Ami-2,4,0.6810263396042364
26,S_Armenian-1,2,0.7235849794334535
27,S_Armenian-2,2,0.7500637659963005
28,S_Atayal-1,4,0.6648107374349701
29,S_Balochi-1,2,0.7504492439243525
30,S_Balochi-2,2,0.7476683961694545
31,S_BantuHerero-1,5,0.7593670710545931
32,S_BantuHerero-2,5,0.7779367564337405
33,S_BantuKenya-1,5,0.7525860089047212
34,S_BantuKenya-2,5,0.7524359208139356
35,S_BantuTswana-1,5,0.752759854091537
36,S_BantuTswana-2,5,0.7576172202792874
37,S_Basque-1,2,0.7028595613882117
38,S_Basque-2,2,0.7011327767595208
39,S_BedouinB-1,0,0.8042495812061402
40,S_BedouinB-2,0,0.7862161401964339
41,S_Bengali-1,4,0.750211633560017
42,S_Bengali-2,0,0.7369285357070261
43,S_Bergamo-1,2,0.7292436788123214
44,S_Bergamo-2,2,0.7163035435692382
45,S_Biaka-1,5,0.7678331360947762
46,S_Biaka-2,5,0.7615794357032026
47,S_Bougainville-1,1,0.6666988479855988
48,S_Bougainville-2,1,0.6686581873843782
49,S_Brahmin-1,0,0.737440671903382
50,S_Brahmin-2,2,0.7376407965428888
51,S_Brahui-1,2,0.7450809799013894
52,S_Brahui-2,2,0.7186655045202125
53,S_Bulgarian-1,2,0.7151506274906436
54,S_Bulgarian-2,2,0.7295090131392323
55,S_Burmese-1,4,0.675849533038327
56,S_Burmese-2,4,0.6814055852361841
57,S_Burusho-1,2,0.7463419936077669
58,S_Burusho-2,2,0.7442790685236912
59,S_Cambodian-1,4,0.6900118177158261
60,S_Cambodian-2,4,0.6952766139888673
61,S_Chane-1,3,0.6556453757202761
62,S_Chechen-1,2,0.7317884278570725
63,S_Chukchi-1,2,0.7255542562412347
64,S_Czech-2,2,0.7110241598048469
65,S_Dai-1,4,0.660906419025532
66,S_Dai-2,4,0.6801457050735423
67,S_Dai-3,4,0.6897023186404869
68,S_Daur-2,4,0.7048715596644012
69,S_Dinka-1,5,0.7739817983490854
70,S_Dinka-2,5,0.7558729686827605
71,S_Druze-1,2,0.7289942218982812
72,S_Druze-2,2,0.7611056010846143
73,S_Dusun-1,4,0.7050821117494216
74,S_Dusun-2,4,0.7004045870251893
75,S_English-1,2,0.7289868013636996
76,S_English-2,2,0.6894925843019148
77,S_Esan-1,5,0.7707620619199637
78,S_Esan-2,5,0.7509592144028795
79,S_Eskimo_Chaplin-1,4,0.7278724235723658
80,S_Eskimo_Naukan-1,4,0.7428758470121253
81,S_Eskimo_Naukan-2,4,0.7283805182992121
82,S_Eskimo_Sireniki-1,4,0.7281564131874827
83,S_Eskimo_Sireniki-2,4,0.7260019908592232
84,S_Estonian-1,2,0.7356170915426576
85,S_Estonian-2,2,0.7149423385280039
86,S_Even-1,4,0.717782542017081
87,S_Even-2,4,0.7188254436263914
88,S_Even-3,4,0.7078231798880321
89,S_Finnish-1,2,0.7326522763049855
90,S_Finnish-2,2,0.7099044302356425
91,S_Finnish-3,2,0.7158284259786345
92,S_French-1,2,0.7235210682207961
93,S_French-2,2,0.7232240068444227
94,S_Gambian-1,5,0.7526982627434787
95,S_Gambian-2,5,0.7654559854766052
96,S_Georgian-1,2,0.7291852631315671
97,S_Georgian-2,2,0.7243860027597219
98,S_Greek-1,2,0.7081257906753644
99,S_Greek-2,2,0.7467427478406835
100,S_Han-1,4,0.671150310429687
101,S_Han-2,4,0.0
102,S_Hawaiian-1,4,0.6930961827025508
103,S_Hazara-1,2,0.7398914057621314
104,S_Hazara-2,1,0.8648220671486299
105,S_Hezhen-1,4,0.6930706434736711
106,S_Hezhen-2,4,0.7186256919936357
107,S_Hungarian-1,2,0.720837017020203
108,S_Hungarian-2,2,0.7498733526242819
109,S_Icelandic-1,2,0.7028290581819748
110,S_Icelandic-2,2,0.7021451382078939
111,S_Igorot-1,4,0.6733740217054406
112,S_Igorot-2,4,0.6911830289100418
113,S_Iranian-1,2,0.7438131667026826
114,S_Iranian-2,2,0.740821962150092
115,S_Iraqi_Jew-1,2,0.71710133280995
116,S_Iraqi_Jew-2,2,0.7131063954478202
117,S_Irula-1,2,0.7573240430089992
118,S_Irula-2,0,0.7433919012291882
119,S_Itelman-1,4,0.7379439122083579
120,S_Japanese-1,4,0.6879792238056983
121,S_Japanese-2,4,0.6934808876890299
122,S_Japanese-3,4,0.6972992848842714
123,S_Jordanian-1,2,0.7425278873193958
124,S_Jordanian-2,1,0.8368631673807277
125,S_Jordanian-3,2,0.7478199147846297
126,S_Ju_hoan_North-1,5,0.7882790868727177
127,S_Ju_hoan_North-2,5,0.7881524173680285
128,S_Ju_hoan_North-3,5,0.803162988871036
129,S_Kalash-1,2,0.740306454868837
130,S_Kalash-2,2,0.7338980686021841
131,S_Kapu-1,1,0.7602737183161423
132,S_Kapu-2,0,0.0
133,S_Karitiana-1,3,0.7211158428930465
134,S_Karitiana-2,3,0.6820043959047855
135,S_Khomani_San-1,5,0.7922443617950902
136,S_Khomani_San-2,5,0.7978827639995523
137,S_Khonda_Dora-1,4,0.7220277398750469
138,S_Kinh-1,4,0.6904344376179955
139,S_Kinh-2,4,0.7009601418561957
140,S_Korean-1,4,0.6813163894347969
141,S_Korean-2,4,0.6861509343870907
142,S_Kusunda-1,4,0.7248929264894096
143,S_Kusunda-2,0,0.8116812191434443
144,S_Kyrgyz-1,4,0.6924264083806865
145,S_Kyrgyz-2,4,0.7202410242053504
146,S_Lahu-1,4,0.6684246332419683
147,S_Lahu-2,4,0.6728799541457001
148,S_Lezgin-1,2,0.7357733780334879
149,S_Lezgin-2,2,0.7210472261055095
150,S_Luhya-1,5,0.7729093073580819
151,S_Luhya-2,5,0.7768693377270287
152,S_Luo-1,5,0.0
153,S_Luo-2,5,0.7536095416486639
154,S_Madiga-1,0,0.7469460380465714
155,S_Madiga-2,0,0.7295365108575567
156,S_Makrani-1,2,0.736482707735384
157,S_Makrani-2,2,0.7386981925263902
158,S_Mala-2,0,0.7540120990874192
159,S_Mala-3,0,0.7153241459537332
160,S_Mandenka-1,5,0.7587558898322402
161,S_Mandenka-2,5,0.7570237322682345
162,S_Mansi-1,4,0.7644054657038095
163,S_Mansi-2,4,0.7276551166971827
164,S_Maori-1,4,0.7105642709336579
165,S_Masai-1,5,0.7876965402625105
166,S_Masai-2,5,0.7646394209567066
167,S_Mayan-1,3,0.6856130579553611
168,S_Mayan-2,3,0.6441002833290481
169,S_Mbuti-1,5,0.7727779658196665
170,S_Mbuti-2,5,0.7775975416483514
171,S_Mbuti-3,5,0.7846171152749987
172,S_Mende-1,5,0.7557008196077728
173,S_Mende-2,5,0.7556493335437967
174,S_Miao-1,4,0.6733277755835815
175,S_Miao-2,4,0.7096147399933077
176,S_Mixe-2,3,0.6510735048624
177,S_Mixe-3,3,0.6565202091362534
178,S_Mixtec-1,3,0.6740293234590904
179,S_Mixtec-2,3,0.6940815142452778
180,S_Mongola-1,4,0.7101552842551296
181,S_Mongola-2,4,0.6925933406756777
182,S_Mozabite-1,0,0.783932029953505
183,S_Mozabite-2,0,0.7769970073408885
184,S_Naxi-1,4,0.6893390429857043
185,S_Naxi-3,4,0.6865868970893267
186,S_North_Ossetian-1,2,0.7218260199605141
187,S_North_Ossetian-2,2,0.7284926900473581
188,S_Norwegian-1,2,0.7226507858685252
189,S_Orcadian-1,2,0.7146530971384514
190,S_Orcadian-2,2,0.0
191,S_Oroqen-1,4,0.6928073197665783
192,S_Oroqen-2,4,0.6824186768147019
193,S_Palestinian-1,2,0.7604400088248588
194,S_Palestinian-2,2,0.7187781764452783
195,S_Palestinian-3,2,0.746706337435834
196,S_Papuan-10,1,0.612070792767058
197,S_Papuan-11,1,0.635450910301872
198,S_Papuan-12,1,0.6113360448483011
199,S_Papuan-13,1,0.6134766904042476
200,S_Papuan-14,1,0.6356922950918695
201,S_Papuan-1,1,0.0
202,S_Papuan-2,1,0.6288925980152218
203,S_Papuan-3,1,0.6337949946714523
204,S_Papuan-4,1,0.6294318087267922
205,S_Papuan-5,1,0.6216285963238694
206,S_Papuan-6,1,0.5937847193159803
207,S_Papuan-7,1,0.6161189902285171
208,S_Papuan-8,1,0.6403305398974759
209,S_Papuan-9,1,0.5123069940596195
210,S_Pathan-1,2,0.7474685193244918
211,S_Pathan-2,2,0.7498209503071523
212,S_Piapoco-1,3,0.685303875079084
213,S_Piapoco-2,3,0.6918522036057171
214,S_Pima-1,3,0.0
215,S_Pima-2,3,0.6238846573835489
216,S_Polish-1,2,0.7401950678228019
217,S_Punjabi-1,0,0.762735312188871
218,S_Punjabi-2,2,0.7476792640000013
219,S_Punjabi-3,0,0.7748004129827981
220,S_Punjabi-4,2,0.7333518381214391
221,S_Quechua-1,3,0.6706180068539584
222,S_Quechua-2,3,0.6485845091587384
223,S_Quechua-3,3,0.6742036218584272
224,S_Relli-1,0,0.7501850657573039
225,S_Relli-2,1,0.7916029305430166
226,S_Russian-1,2,0.7233393566616778
227,S_Russian-2,2,0.7240520953369078
228,S_Saami-1,0,0.7693279827546008
229,S_Saami-2,0,0.7685250796641648
230,S_Saharawi-1,2,0.7515292508787995
231,S_Saharawi-2,2,0.7611153167603325
232,S_Samaritan-1,2,0.7588611446520976
233,S_Sardinian-1,2,0.7270086970617831
234,S_Sardinian-2,2,0.7311411886112733
235,S_She-1,4,0.6924445960298219
236,S_She-2,4,0.6597979618676396
237,S_Sindhi-1,2,0.7562197429702707
238,S_Sindhi-2,0,0.7525262095287529
239,S_Somali-1,0,0.8011638206399623
240,S_Spanish-1,2,0.7218147429460077
241,S_Spanish-2,2,0.7174184242526704
242,S_Surui-1,3,0.7152500728596229
243,S_Surui-2,3,0.7052828812640414
244,S_Tajik-1,0,0.7589371064612415
245,S_Tajik-2,2,0.7503497375859413
246,S_Thai-1,4,0.679406979784995
247,S_Thai-2,4,0.7083870358415655
248,S_Tlingit-1,3,0.7786352397205226
249,S_Tlingit-2,2,0.7244808143042869
250,S_Tu-1,4,0.6912309591070838
251,S_Tu-2,4,0.6858186046374493
252,S_Tubalar-1,4,0.7525222723085581
253,S_Tubalar-2,4,0.7163052577166655
254,S_Tujia-1,4,0.6972971568802109
255,S_Tujia-2,4,0.6874693883118065
256,S_Turkish-1,2,0.7543256265103012
257,S_Turkish-2,2,0.7397278844754287
258,S_Tuscan-1,0,0.7740519656515092
259,S_Tuscan-2,2,0.7221709374828619
260,S_Ulchi-1,4,0.7213540275911742
261,S_Ulchi-2,4,0.705241932476116
262,S_Uygur-1,4,0.7431155220952117
263,S_Uygur-2,4,0.7419253951074731
264,S_Xibo-1,4,0.6959510271684901
265,S_Xibo-2,4,0.7062843883445026
266,S_Yadava-1,0,0.7405511794517085
267,S_Yadava-2,4,0.7438200499172527
268,S_Yakut-1,4,0.7391723171240999
269,S_Yakut-2,4,0.6875909020516842
270,S_Yemenite_Jew-1,2,0.7186930352846347
271,S_Yemenite_Jew-2,2,0.7450906624537135
272,S_Yi-1,4,0.6916521352457602
273,S_Yi-2,4,0.6973424453909489
274,S_Yoruba-1,5,0.7618327762935222
275,S_Yoruba-2,5,0.7767553784792011
276,S_Zapotec-1,3,0.6657633837186665
277,S_Zapotec-2,3,0.6635919818461992
