SGDP_ID,Sequencing_Panel,Illumina_ID,Sample_ID,Sample_ID_Aliases,Population_ID,Region,Country,Town,Contributor,Gender,Latitude,Longitude,DNA_Source,Embargo,SGDP_lite
B_Australian-3,B,SS6004478,IHW9118,IHW9118,Australian,Oceania,Australia,Cell_line_repository_sampling_location_unknown,ECCAC,U,-13.0,143.0,Genomic_from_cell_lines,FullyPublic,X
B_Australian-4,B,SS6004477,IHW9193,IHW9193,Australian,Oceania,Australia,Cell_line_repository_sampling_location_unknown,ECCAC,M,-13.0,143.0,Genomic_from_cell_lines,FullyPublic,X
B_Crete-1,B,LP6007069-DNA_A01,AV-21,AV-21,Crete,WestEurasia,Greece,"Preveliana, Irakleioy",George Stamatoyannopoulos,F,35.166668,25.166666,Genomic_from_blood,FullyPublic,X
B_Crete-2,B,LP6007068-DNA_A01,TZ-11,TZ-11,Crete,WestEurasia,Greece,"Psychro ,Lassithi",George Stamatoyannopoulos,M,35.163,25.445,Genomic_from_blood,FullyPublic,X
B_Dai-4,B,SS6004467,HGDP01308,HGDP01308,Dai,EastAsia,China,?,Howard Cann,M,21.0,100.0,Genomic_from_cell_lines,FullyPublic,X
B_Dinka-3,B,SS6004480,DNK07,DNK07,Dinka,Africa,Sudan,Aweil,Michael Hammer,M,8.783333333,27.4,Genomic_from_saliva,FullyPublic,X
B_French-3,B,SS6004468,HGDP00533,HGDP00533,French,WestEurasia,France,?,Howard Cann,M,46.0,2.0,Genomic_from_cell_lines,FullyPublic,X
B_Han-3,B,SS6004469,HGDP00775,HGDP00775,Han,EastAsia,China,?,Howard Cann,M,32.26566812,114.0,Genomic_from_cell_lines,FullyPublic,X
B_Ju_hoan_North-4,B,SS6004473,HGDP01036,HGDP01036,Ju_hoan_North,Africa,Namibia,?,Howard Cann,M,-18.93725689,21.45244764,Genomic_from_cell_lines,FullyPublic,X
B_Karitiana-3,B,SS6004476,HGDP01015,HGDP01015,Karitiana,America,Brazil,?,Howard Cann,M,-10.0,-63.0,Genomic_from_cell_lines,FullyPublic,X
B_Mandenka-3,B,SS6004470,HGDP01286,HGDP01286,Mandenka,Africa,Senegal,?,Howard Cann,M,12.0,-12.0,Genomic_from_cell_lines,FullyPublic,X
B_Mbuti-4,B,SS6004471,HGDP00982,HGDP00982,Mbuti,Africa,Congo,?,Howard Cann,M,1.0,29.0,Genomic_from_cell_lines,FullyPublic,X
B_Mixe-1,B,SS6004479,mixe0007,mixe0007,Mixe,America,Mexico,"Tmazulapan, Mixe",William Klitz / Cheryl Winkler,F,16.95,-96.58,Genomic_from_cell_lines,FullyPublic,X
B_Papuan-15,B,SS6004472,HGDP00546,HGDP00546,Papuan,Oceania,PapuaNewGuinea,?,Howard Cann,M,-4.0,143.0,Genomic_from_cell_lines,FullyPublic,X
B_Sardinian-3,B,SS6004474,HGDP01076,HGDP01076,Sardinian,WestEurasia,Italy,?,Howard Cann,M,40.0,9.0,Genomic_from_cell_lines,FullyPublic,X
B_Yoruba-3,B,SS6004475,HGDP00936,HGDP00936,Yoruba,Africa,Nigeria,?,Howard Cann,M,7.4,3.9,Genomic_from_cell_lines,FullyPublic,X
