generation,fitness,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
0,1.0021635240730695,56,45,33,41,35,31,37
1,1.0039423122802211,49,41,37,31,38,38,44
2,1.0054869883995052,51,40,40,30,34,37,46
3,1.007090875165104,60,34,40,28,38,35,43
4,1.008059973041724,59,38,44,30,37,30,40
5,1.0090106562803216,58,39,40,29,35,33,44
6,1.0113028335287428,58,36,38,28,41,35,42
7,1.01196878888813,60,37,39,28,38,34,42
8,1.0143070130811007,61,38,41,29,35,32,42
9,1.0159314769462324,63,39,40,28,36,31,41
10,1.0178184379875046,65,38,39,30,34,32,40
11,1.0190679784254528,68,37,37,30,34,31,41
12,1.0192566966766181,69,36,37,30,35,30,41
13,1.0192919847182567,68,37,37,30,35,30,41
14,1.0208005490484477,71,38,36,31,31,31,40
15,1.0229849032984988,74,40,37,29,31,30,37
16,1.0230109169671684,75,40,34,30,29,31,39
17,1.0253931090397215,78,39,34,30,32,30,35
18,1.0234639295933672,79,39,32,34,32,30,32
19,1.0280211002068511,82,42,31,28,30,29,36
20,1.0262425411043916,78,40,33,26,37,31,33
21,1.029328167057416,86,42,30,27,31,28,34
22,1.0305666970309495,87,43,30,28,29,28,33
23,1.0300261020056043,86,46,25,27,30,29,35
24,1.0314039877311112,87,46,27,27,29,28,34
25,1.031804553799887,92,44,28,26,29,28,31
26,1.033236113929864,94,45,26,27,27,26,33
27,1.0334905545970858,93,44,27,28,26,27,33
28,1.0337897964786538,94,44,33,23,28,25,31
29,1.0325071367514886,91,42,29,27,28,27,34
30,1.037621690588191,98,41,25,29,29,24,32
31,1.0385122462992373,101,39,25,29,28,24,32
32,1.0387029465849698,102,39,25,29,28,24,31
33,1.0387029465849698,102,39,25,29,28,24,31
34,1.0382160918753442,101,39,25,30,27,25,31
35,1.039761840464969,101,39,26,29,27,23,33
36,1.0403870641375963,102,37,26,30,27,23,33
37,1.0404800071287506,103,36,25,31,26,23,34
