generation,fitness,chromosome
0,1.0026360046754994,"2,0,0,2,4,1,0,4,1,1,1,4,2,4,3,0,4,4,3,1,3,0,4,2,4,0,2,4,1,0,1,0,0,3,0,1,1,3,3,1,4,3,3,2,0,0,1,4,1,4,4,1,2,0,0,0,0,1,1,3,4,3,0,3,1,3,1,3,4,1,0,4,3,4,3,3,4,1,0,3,0,1,0,4,2,2,0,3,4,1,2,4,3,2,1,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,4,0,2,3,3,4,0,1,0,4,2,4,0,1,3,2,2,1,3,1,3,3,1,4,4,3,4,3,1,0,1,0,2,1,1,0,0,0,1,1,2,1,4,4,1,0,4,2,3,3,0,3,2,2,0,0,4,2,2,0,3,4,2,4,4,0,3,2,4,3,1,0,0,2,3,2,2,1,0,4,0,2,4,1,2,3,3,3,1,1,2,4,1,4,4,3,0,0,3,0,4,4,2,3,1,0,4,0,0,4,3,2,3,4,3,4,4,2,2,4,2,1,2,2,1,3,3,2,1,4,2,4,0,3,4,3,1,0,4,3,0,0,0,1,4,0,2,4,0,4,1,4,2,1,1,4,1,0,1,0,4,1,1,0,4"
1,1.0026470290029055,"2,0,0,2,4,1,0,4,1,1,4,4,4,4,3,0,4,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,0,3,0,1,1,3,3,1,4,3,3,2,0,0,1,4,1,4,4,1,2,0,0,0,0,1,4,3,4,4,0,3,1,0,1,3,4,1,0,4,3,4,3,3,4,1,0,3,0,1,0,4,2,2,0,3,4,1,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,4,0,4,3,3,4,2,1,0,4,2,4,0,1,3,2,2,1,3,1,3,3,1,4,4,3,4,3,1,0,1,0,2,1,1,0,0,0,1,1,2,1,4,4,1,0,4,2,3,3,0,3,2,2,0,0,2,4,2,0,3,4,2,4,4,0,3,2,4,3,1,0,0,2,3,2,2,1,0,4,0,2,1,1,2,3,3,3,1,1,2,4,1,4,4,3,0,0,4,1,4,4,2,0,2,1,2,0,2,4,1,2,2,2,0,2,4,0,0,4,0,1,0,3,1,3,1,4,0,4,4,4,2,0,1,4,4,2,0,4,2,0,0,0,3,3,3,3,0,4,1,3,4,4,0,1,0,3,4,0,4,1,0,2,0"
2,1.004105294833118,"2,2,0,2,4,1,0,4,1,1,4,4,4,4,3,0,4,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,4,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,4,1,0,3,0,1,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,3,1,3,3,1,1,4,0,4,4,1,0,1,0,2,3,1,1,4,0,4,4,4,0,0,1,3,4,0,2,0,0,2,0,3,1,4,3,0,0,3,1,2,4,3,3,1,2,0,2,4,2,0,3,4,3,2,0,2,3,4,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,1,0,4,4,3,0,2,0,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,3,0,1,0,3,2,4,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,4,3"
3,1.0048410242167969,"2,2,0,2,4,1,0,4,1,1,4,4,4,4,3,0,4,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,4,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,4,1,0,3,0,1,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,3,1,3,3,1,1,4,4,4,4,1,0,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,2,0,0,3,0,3,1,4,3,0,0,3,1,2,4,3,3,1,2,0,2,4,4,0,3,4,3,2,0,2,3,3,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,0,2,0,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,3,0,1,0,3,2,4,3,1,4,4,4,4,0,3,4,0,1,3,3,2,3,4,3"
4,1.005173496983534,"2,2,0,2,4,1,0,4,1,1,0,4,4,4,3,0,4,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,3,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,4,1,0,3,0,3,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,4,1,3,3,1,1,4,4,4,4,1,0,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,2,0,0,3,0,3,1,4,3,0,0,3,1,2,4,3,3,1,2,0,2,4,4,0,3,4,3,2,0,2,3,3,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,2,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,3,0,1,4,3,2,4,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,0,3"
5,1.0055960367902528,"2,2,0,2,4,1,0,4,1,1,0,4,4,4,3,0,2,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,3,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,4,1,1,3,0,3,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,4,3,3,3,1,1,4,4,4,4,1,0,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,2,0,0,3,0,3,1,4,3,0,0,4,1,2,4,3,3,1,2,0,2,3,4,0,3,4,3,2,0,2,3,3,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,2,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,3,0,1,4,3,2,4,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,0,3"
6,1.0054445501608105,"2,2,0,2,4,1,0,4,1,1,0,4,4,4,3,0,2,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,3,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,0,1,1,3,0,3,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,4,3,3,3,1,1,4,4,4,4,1,3,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,3,0,0,3,0,3,1,4,3,0,0,4,1,2,4,3,3,1,2,0,2,3,4,0,3,4,3,2,0,2,3,3,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,2,0,1,4,2,3,0,3,1,0,3,3,2,3,3,2,1,0,4,3,3,0,3,4,3,0,1,4,3,2,3,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,0,3"
7,1.0054445501608105,"2,2,0,2,4,1,0,4,1,1,0,4,4,4,3,0,2,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,3,1,4,4,4,2,3,0,0,0,1,4,3,4,4,0,3,1,0,2,3,4,1,0,4,3,4,2,3,0,1,1,3,0,3,0,4,2,2,0,3,4,0,2,4,3,2,2,2,0,3,4,2,0,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,4,0,1,4,4,0,1,3,2,2,1,4,3,3,3,1,1,4,4,4,4,1,3,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,3,0,0,3,0,3,1,4,3,0,0,4,1,2,4,3,3,1,2,0,2,3,4,0,3,4,3,2,0,2,3,3,0,4,0,3,1,2,2,0,0,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,2,0,1,4,2,3,0,3,1,0,3,3,2,3,3,2,1,0,4,3,3,0,3,4,3,0,1,4,3,2,3,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,0,3"
8,1.0067258928991847,"4,2,0,4,4,1,0,4,1,1,0,4,4,4,3,0,2,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,0,1,1,3,3,1,4,3,3,2,0,0,1,3,4,4,4,3,2,3,0,0,3,1,4,3,4,4,0,3,3,4,2,3,4,1,0,4,3,4,2,3,2,1,1,3,0,3,0,4,2,2,0,3,4,0,2,4,3,0,2,2,0,3,4,2,3,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,0,0,4,4,4,0,1,3,2,2,1,4,3,3,3,1,1,4,4,4,4,1,3,1,0,2,3,1,1,4,0,4,4,4,0,4,1,3,4,0,2,0,0,3,0,3,1,4,3,0,0,4,1,2,4,3,3,1,2,0,2,3,4,0,3,4,3,4,0,2,3,3,0,4,0,3,1,4,2,0,2,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,1,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,4,0,1,4,3,2,4,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,2,3"
9,1.0074621994418131,"4,2,0,4,4,1,0,4,1,1,0,4,4,4,3,0,2,4,3,1,3,0,4,2,4,0,2,3,1,0,1,0,2,3,2,1,1,3,3,1,4,4,3,2,0,0,1,3,4,4,4,3,2,3,0,0,3,1,4,3,2,4,0,3,3,4,2,3,4,1,0,4,3,4,2,3,2,1,1,3,0,3,0,4,2,2,0,3,4,0,2,4,3,0,2,2,0,3,4,2,3,4,2,0,0,3,0,3,2,0,0,0,3,0,0,4,3,3,4,2,0,0,4,4,4,0,1,3,2,2,1,4,3,3,3,1,1,4,4,4,4,0,3,4,0,2,3,1,1,4,0,4,1,2,0,4,1,3,4,0,2,0,0,3,0,3,1,4,3,0,0,4,1,2,4,3,3,1,2,0,2,3,4,0,3,4,3,4,0,1,3,3,0,4,0,3,1,4,2,0,2,3,2,2,3,2,3,0,2,0,4,4,4,4,2,2,1,2,4,0,4,3,3,3,0,4,4,3,4,2,1,0,1,4,2,3,0,3,1,0,3,3,2,4,3,2,1,0,4,3,3,0,3,4,3,0,1,4,3,2,4,3,1,4,3,4,4,0,3,4,0,1,3,3,2,3,2,3"
