generation,fitness,chromosome
0,1.0019962864277123,"3,2,0,1,3,4,1,2,4,2,0,2,2,2,2,4,1,1,2,1,1,2,3,0,3,0,3,0,0,1,2,3,1,4,1,4,4,3,4,1,1,3,1,4,1,4,1,0,1,1,4,0,0,4,4,2,2,1,3,1,0,0,2,3,0,1,4,3,1,4,4,3,0,4,1,1,4,1,4,4,0,0,3,4,3,1,3,3,2,1,3,3,4,3,4,2,2,4,3,3,4,4,0,4,4,2,3,0,1,3,4,0,3,2,2,1,3,1,1,4,4,4,1,2,3,3,4,1,2,0,3,4,2,2,4,1,2,3,2,2,0,1,2,2,3,1,3,3,0,4,4,3,2,0,2,3,2,3,2,1,4,4,2,4,3,3,1,0,1,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,4,1,1,1,3,2,2,1,4,2,0,2,0,1,0,2,3,3,1,4,3,1,3,4,1,1,0,0,2,3,0,0,2,1,3,3,4,0,1,3,2,3,3,1,4,2,2,0,1,1,3,1,3,3,3,2,0,3,2,1,1,0,2,1,2,3,0,4,2,3,3,1,3,1,4,2,2,3,2,2,2,0,4,0,2,3,2,3,0,4,4,0,1,0"
1,1.000707141001261,"3,2,0,1,3,4,1,2,4,2,0,2,2,2,2,4,1,1,2,1,0,2,3,0,3,0,3,0,0,1,2,3,1,4,1,4,4,3,4,1,1,3,1,4,1,4,1,0,1,1,4,0,0,4,4,2,2,1,0,1,0,0,2,3,0,1,4,3,1,4,4,3,0,4,1,1,4,1,4,4,0,0,3,4,3,1,3,3,2,1,3,3,4,3,1,2,2,4,3,3,4,4,0,4,4,2,3,4,1,3,4,0,3,2,2,1,3,1,1,4,4,4,1,2,3,3,4,1,2,0,3,4,2,2,4,1,2,3,2,2,0,1,2,2,3,1,3,3,0,0,4,3,2,0,2,3,2,3,2,1,4,4,2,4,3,3,1,0,1,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,4,1,1,1,3,1,2,1,4,2,0,2,0,1,0,2,3,3,1,4,3,1,3,4,1,3,1,4,4,1,0,1,3,1,4,3,1,2,1,2,3,2,1,2,0,2,2,3,1,1,1,1,4,2,4,1,1,0,2,4,0,2,3,0,3,2,3,2,3,2,0,2,2,1,0,3,1,3,0,2,2,0,4,1,1,3,1,4,3,2,0,2,4,3"
2,1.0027489009977966,"3,2,0,1,3,4,1,2,4,1,0,2,2,2,2,4,1,1,2,1,0,2,3,0,3,0,3,0,0,1,2,3,1,4,1,4,4,3,4,1,1,3,1,4,1,4,1,0,1,1,4,0,0,4,4,2,2,1,0,1,0,0,2,3,0,1,4,3,1,4,4,3,0,4,1,1,4,1,4,4,0,0,3,4,3,2,3,3,2,1,3,3,3,3,1,2,2,4,3,0,4,4,0,4,4,2,3,0,3,3,4,0,3,2,3,0,3,1,0,4,4,4,1,2,3,3,4,1,2,0,3,4,2,2,4,1,2,3,2,2,0,1,2,2,3,1,3,3,0,0,4,3,2,0,2,3,2,3,2,1,4,4,2,4,3,3,1,0,3,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,4,1,1,1,3,1,2,1,4,2,0,2,0,1,0,2,3,3,1,4,3,4,3,4,1,3,1,4,4,1,0,1,2,1,3,3,4,0,1,3,2,3,3,1,4,2,2,0,1,1,3,1,3,3,3,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,1,0,4,2,3,3,2,2,0,4,0,2,3,2,3,0,1,4,4,1,0"
3,1.0024458084061436,"3,2,0,1,3,4,1,2,4,1,0,2,2,2,2,4,1,1,2,1,0,2,3,4,3,0,3,0,0,1,1,3,1,4,1,4,4,3,4,1,1,3,1,4,1,4,1,0,1,1,4,3,0,4,4,2,2,1,0,1,4,0,2,3,0,1,4,3,1,4,4,3,0,4,1,1,4,1,4,4,0,0,3,4,3,2,0,3,2,1,3,3,3,3,1,2,2,1,3,0,4,4,0,4,4,2,3,0,3,3,4,0,3,2,3,0,3,1,0,4,4,4,1,2,3,3,4,1,2,0,3,4,2,2,4,1,2,3,2,2,0,1,2,2,3,1,3,3,0,0,4,3,2,0,2,3,2,3,2,1,4,4,2,4,3,3,1,0,3,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,4,1,1,1,3,1,2,1,4,2,0,2,0,1,0,2,3,3,1,4,3,4,3,4,1,3,1,4,4,1,0,1,2,1,3,3,4,0,1,3,2,3,3,1,4,2,2,0,1,1,3,1,3,3,3,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,0,0,4,2,3,2,2,2,0,4,0,2,3,2,3,0,1,4,4,1,0"
4,1.0035134560891987,"3,2,0,1,3,4,1,2,4,1,2,2,2,2,2,4,1,1,2,1,0,2,3,4,3,3,3,0,0,1,1,3,1,4,1,4,4,3,4,1,1,3,1,4,1,4,1,0,1,1,4,3,0,4,1,2,2,1,0,3,4,0,2,3,2,1,3,3,1,4,4,3,0,4,1,1,4,1,4,4,1,0,3,4,3,2,0,3,2,1,3,3,3,3,1,2,2,1,3,0,4,4,0,4,4,0,3,0,3,3,4,0,3,2,3,3,0,1,3,4,4,4,3,2,3,3,4,1,2,0,3,4,2,2,4,1,2,3,2,2,0,1,2,2,3,1,3,3,0,0,4,3,2,0,2,3,2,3,2,1,4,4,2,4,3,3,1,0,3,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,4,1,1,1,3,1,2,1,4,2,0,2,1,1,0,2,3,3,1,4,3,4,3,4,1,3,1,4,4,1,0,1,2,1,3,3,4,0,1,3,2,3,3,1,4,2,2,0,0,1,4,1,3,3,3,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,0,0,4,2,3,2,2,2,0,4,0,3,3,2,3,0,1,4,4,1,0"
5,1.0056752976513876,"0,2,0,1,3,4,1,3,4,1,2,2,2,1,2,4,1,1,2,1,0,2,2,4,3,3,3,0,0,1,1,3,1,4,1,4,4,3,1,1,1,3,1,4,1,4,0,0,1,1,4,3,0,4,1,2,2,1,0,3,1,0,2,3,2,3,3,2,1,4,4,3,0,2,1,1,4,4,4,4,1,0,3,4,3,2,0,3,2,1,3,3,3,3,1,2,2,1,3,0,4,4,0,4,4,0,3,0,2,3,4,3,3,3,3,3,0,1,3,4,4,4,1,2,3,3,4,0,2,0,3,4,2,2,4,1,2,3,2,2,0,1,3,2,3,1,3,3,0,0,4,3,2,0,2,4,2,3,2,1,4,4,2,1,3,3,1,0,3,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,2,1,1,0,4,1,2,1,4,2,0,2,0,0,0,2,3,3,1,4,3,4,3,4,1,3,1,4,0,3,0,1,2,0,3,3,4,0,1,3,2,3,3,1,4,2,2,4,1,1,3,1,3,3,3,1,0,3,2,1,1,0,2,1,2,3,3,3,2,3,3,1,3,1,3,4,2,1,3,2,2,2,4,0,2,3,2,3,0,1,4,4,1,3"
6,1.0057608511709746,"0,2,0,1,3,4,1,3,4,1,2,2,2,1,2,4,1,1,2,1,0,2,2,3,3,3,3,0,0,1,1,3,1,4,1,4,4,3,1,1,1,3,1,4,1,4,0,0,2,1,4,3,0,4,1,2,2,1,0,3,1,0,2,3,2,3,3,2,1,0,4,3,0,1,1,1,4,4,4,4,1,0,3,4,3,2,0,3,2,1,3,3,2,3,1,2,2,1,3,0,4,4,4,4,4,0,3,0,2,3,4,3,3,3,3,3,3,1,3,4,4,4,1,2,3,3,4,0,2,0,3,4,2,2,0,1,2,3,2,2,0,1,3,2,3,1,3,3,4,0,4,3,2,0,2,4,2,3,2,1,4,4,2,1,3,3,1,0,1,2,0,4,3,2,1,0,3,3,3,3,0,3,2,4,2,1,1,0,4,1,2,1,4,2,0,2,0,0,0,2,3,3,1,4,3,4,3,4,1,3,1,4,0,3,0,1,2,0,3,3,4,0,1,3,2,3,3,1,4,4,2,4,1,1,3,1,3,3,3,1,0,3,2,1,1,0,2,1,2,3,3,3,2,3,3,1,3,1,3,4,2,1,3,2,2,2,4,0,2,3,2,3,0,1,4,4,1,3"
7,1.0070885299296464,"0,2,0,1,3,4,1,3,4,1,2,2,2,1,2,4,1,1,2,1,0,2,2,3,3,3,3,0,0,1,1,3,1,4,1,4,4,3,1,1,1,3,1,4,1,4,0,0,2,1,4,3,0,4,1,2,2,1,0,3,1,0,2,3,2,3,3,2,1,0,4,3,0,4,1,1,2,4,4,4,1,0,3,4,3,2,0,3,2,1,3,3,2,3,1,2,2,1,3,0,4,4,4,4,4,0,3,0,2,3,4,3,3,3,3,3,3,1,3,4,4,4,1,2,3,3,4,0,2,0,3,4,2,2,0,1,2,3,2,2,0,3,2,2,3,1,3,3,0,0,4,0,0,0,2,3,1,3,2,1,2,4,2,4,3,3,0,0,3,2,0,4,3,2,3,0,3,3,3,3,0,3,2,2,4,2,1,1,3,1,3,1,4,0,0,2,0,1,0,2,3,3,1,4,3,4,3,4,1,0,1,4,4,3,3,3,2,1,3,3,2,1,1,4,1,3,3,1,4,2,2,0,3,1,3,1,3,3,4,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,1,0,4,0,3,3,2,3,3,2,0,2,3,4,3,0,1,4,4,1,0"
8,1.0079528828203521,"0,2,0,1,3,4,1,3,4,1,2,2,2,1,2,4,1,1,2,1,0,2,2,3,3,3,3,0,0,1,1,3,1,4,1,4,4,3,1,1,1,3,1,4,1,4,0,0,2,1,4,3,0,1,1,2,2,1,0,3,1,0,2,3,2,3,3,2,1,0,4,3,0,4,1,1,2,4,4,4,1,0,3,4,3,2,0,3,2,1,3,3,2,3,1,2,2,1,3,0,4,4,4,4,4,0,3,0,2,3,4,3,3,3,3,3,3,1,3,4,4,4,1,2,3,3,4,0,2,0,3,4,2,2,0,1,2,3,2,2,0,3,4,2,3,1,3,3,3,0,4,0,0,0,2,3,1,3,0,1,2,4,2,4,3,3,0,0,3,2,2,4,3,2,3,0,3,3,3,3,0,3,2,2,3,2,1,1,3,1,3,1,4,3,0,2,0,1,0,2,3,3,1,4,3,4,3,4,1,0,1,4,4,3,3,3,2,1,3,3,2,1,1,4,1,3,3,1,4,2,2,3,3,1,3,1,3,0,4,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,1,0,4,0,3,3,2,3,3,2,0,2,3,4,3,0,1,4,4,1,0"
9,1.0074697416817286,"1,2,0,1,3,4,1,3,4,1,2,2,2,1,2,4,1,1,0,3,2,2,2,3,3,3,3,0,0,1,1,3,1,4,1,4,4,3,1,1,1,3,1,4,1,4,0,0,2,1,4,3,0,1,1,2,2,1,0,3,1,0,2,3,2,3,3,2,1,0,4,3,0,4,1,1,2,4,4,4,1,0,3,4,3,2,0,3,2,0,3,3,0,3,1,2,2,1,3,0,4,4,4,4,4,0,3,0,2,3,3,3,3,3,3,3,3,1,3,4,4,4,1,2,3,3,4,0,2,0,3,4,2,2,0,1,2,3,2,2,0,3,4,2,3,1,4,3,3,0,4,0,0,0,2,3,1,3,0,1,2,4,2,4,3,3,0,0,3,2,2,4,3,2,3,0,3,3,3,3,0,3,2,2,4,2,1,1,3,1,3,1,4,3,0,2,0,1,2,4,3,3,1,4,3,4,3,4,1,0,1,4,4,3,3,3,2,1,3,3,2,1,1,4,1,3,3,1,4,2,2,0,3,0,3,1,3,3,4,2,0,3,2,1,1,0,2,1,2,3,0,3,2,3,3,1,3,1,0,4,0,3,3,2,3,3,2,0,2,3,4,3,4,1,4,4,1,0"
