generation,fitness,chromosome
0,1.3672839234385217,"2,2,2,4,0,1,0,3,3,2,2,2,0,1,4,4,0,2,4,1,0,0,4,2,4,4,2,0,4,1,0,3,4,1,2,1,0,4,3,0,2,2,1,4,2,3,0,0,4,0,4,2,3,3,0,4,4,1,0,4,3,2,0,3,3,0,3,2,0,4,3,1,1,2,3,1,3,0,1,3,3,1,0,3,1,3,4,2,0,2,1,2,2,2,2,1,4,3,1,1,4,3,3,0,1,1,1,3,3,4,1,2,3,3,2,1,3,3,3,4,0,4,1,4,3,0,3,0,0,0,2,2,1,3,4,1,1,0,2,1,4,1,4,2,3,0,0,3,3,2,0,4,2,4,0,3,2,2,0,0,0,2,4,2,3,4,1,1,4,2,4,0,2,0,1,3,2,2,3,0,3,4,4,2,4,4,2,3,2,3,4,1,3,0,1,2,2,1,2,3,4,4,4,4,4,3,1,0,4,1,3,4,3,3,0,0,2,1,1,4,0,2,3,4,3,0,3,1,3,1,3,0,3,4,3,1,3,1,2,4,1,3,4,4,4,3,1,0,0,3,4,1,1,3,3,3,0,1,3,1,4,0,3,2,3,1,2,0,4,0,4,4,1,1,0,4,3,1"
1,1.3673607421707803,"2,2,2,4,0,1,0,3,3,2,2,2,0,1,4,4,0,2,4,1,0,0,4,2,4,4,2,0,4,1,0,3,4,1,2,1,0,4,3,0,2,2,1,4,2,4,0,0,4,0,4,2,3,3,0,4,4,1,0,4,3,2,0,3,3,0,3,2,0,4,3,1,1,2,3,4,3,0,1,3,3,1,0,3,1,3,4,2,0,2,1,2,2,2,2,1,4,3,1,3,4,3,3,0,1,1,1,3,3,4,1,2,3,3,2,1,3,3,3,4,0,4,1,4,3,0,3,1,0,0,2,2,1,3,4,1,1,0,2,1,4,1,4,2,3,0,0,3,3,2,0,4,2,4,0,3,2,2,0,0,0,2,4,2,3,4,1,1,4,2,4,0,2,0,1,3,2,2,3,0,3,4,4,2,4,4,2,3,2,3,4,1,3,0,1,2,2,1,2,3,4,4,4,4,4,3,1,0,4,1,3,4,3,3,0,0,2,1,1,4,0,2,3,4,3,0,3,1,3,1,3,0,3,4,3,1,3,1,2,4,1,3,4,4,4,3,1,0,0,3,4,1,1,3,3,3,0,1,3,1,4,0,3,2,3,1,2,0,4,0,4,4,1,1,0,4,3,1"
2,1.3666802158145182,"2,2,2,4,0,1,0,3,3,2,2,2,0,1,4,4,0,2,4,1,0,0,4,2,4,4,2,0,4,1,0,3,4,1,2,1,3,0,4,4,2,4,0,3,0,0,1,0,1,3,2,1,3,1,3,0,0,2,3,0,1,2,2,3,2,2,3,2,2,2,2,0,1,2,2,0,2,4,2,3,2,0,0,2,0,3,2,3,4,4,4,0,0,3,0,4,0,0,3,1,2,2,1,1,1,0,1,0,2,1,4,3,1,4,1,0,4,1,2,1,4,4,2,2,2,2,4,0,4,1,2,3,1,4,4,4,1,1,1,1,4,1,3,0,1,1,1,0,2,3,0,1,4,1,2,2,2,0,2,3,0,0,2,0,4,3,1,0,3,3,0,0,3,1,2,0,1,3,0,3,2,4,2,2,0,1,3,0,4,1,2,1,2,3,2,3,4,1,3,4,3,0,3,1,2,2,2,2,0,1,3,1,0,0,1,0,2,2,0,1,2,4,0,3,0,3,2,4,0,2,3,2,0,3,3,1,1,2,4,4,3,2,0,1,3,0,4,0,0,3,1,2,3,4,3,2,3,3,3,0,3,3,0,4,4,2,0,2,0,3,4,0,1,0,2,0,4,4"
3,1.3710525968566822,"2,2,2,4,3,0,0,0,1,3,1,3,2,2,2,2,2,0,4,1,3,4,3,3,2,0,3,2,1,4,3,0,4,2,1,0,1,4,1,1,4,4,4,4,4,1,2,3,3,2,0,2,4,3,4,3,4,4,0,4,2,4,1,3,0,4,4,3,1,3,2,2,3,0,0,2,4,1,1,2,2,2,2,3,3,3,4,0,0,1,2,3,0,2,2,0,4,0,3,2,4,4,2,2,3,2,4,3,0,4,3,3,2,0,1,3,4,2,0,4,4,4,4,4,4,4,1,1,2,0,1,4,4,4,2,1,3,3,0,0,2,0,2,1,2,1,3,3,3,2,2,3,3,2,4,0,0,1,1,0,2,3,0,4,4,3,2,2,1,2,1,1,1,2,0,3,3,3,1,4,1,3,3,4,3,1,0,3,4,3,2,2,0,1,4,0,1,0,1,0,4,1,0,0,3,0,1,1,4,4,4,3,0,3,2,2,0,0,4,3,2,3,0,0,0,3,3,4,0,2,1,3,2,2,2,0,2,4,0,0,0,0,0,3,1,0,4,2,3,4,0,2,4,4,4,4,2,2,4,2,4,3,4,3,3,0,4,4,2,4,4,2,3,3,4,4,4,4"
4,1.3717383605190216,"2,2,2,4,3,0,0,0,1,3,0,1,4,1,4,2,3,3,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,1,0,1,4,1,1,4,4,4,4,4,1,2,3,3,2,0,2,4,3,4,3,4,4,0,2,2,4,0,3,0,4,4,3,1,3,2,2,0,0,0,3,0,2,1,4,4,4,1,1,2,0,4,0,3,3,4,3,0,1,2,0,4,0,3,0,4,4,2,2,3,2,3,4,0,4,4,3,2,0,1,3,0,0,0,3,4,4,2,0,4,4,2,1,3,2,1,4,4,4,2,1,2,3,4,0,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,3,1,2,3,0,2,2,4,0,4,4,2,0,0,0,2,1,2,3,0,4,3,3,4,4,0,3,4,2,2,4,4,2,0,0,4,2,3,0,0,1,4,3,2,0,0,3,0,1,1,4,4,0,3,0,3,2,2,0,0,4,3,2,3,0,0,0,3,3,4,0,2,1,3,2,2,2,0,2,4,0,0,0,0,0,3,1,0,4,2,3,4,0,2,4,4,4,4,2,2,4,2,4,3,4,3,3,0,4,4,2,4,4,1,3,3,4,4,4,4"
5,1.3719735403712943,"2,2,2,4,3,0,0,0,1,3,0,1,4,1,4,2,3,3,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,1,0,1,4,1,1,4,4,4,4,4,1,2,3,3,2,0,2,4,3,4,3,4,4,0,2,2,4,0,3,0,4,4,3,1,3,2,2,0,0,0,3,0,2,1,4,4,4,1,1,2,0,4,0,3,2,4,3,0,1,2,1,4,0,3,0,4,4,2,2,3,2,3,4,0,4,4,3,2,0,1,3,0,2,0,3,4,4,2,0,4,4,2,1,3,2,1,4,4,4,2,1,2,3,4,0,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,3,1,2,3,0,2,2,4,0,4,4,2,0,0,0,2,1,2,3,1,4,3,3,4,4,0,3,4,2,2,4,4,2,0,0,4,2,3,0,0,1,4,3,2,0,0,3,0,1,1,2,4,0,3,0,3,2,2,0,0,4,3,2,3,0,3,0,3,3,4,0,2,1,3,2,2,2,0,2,4,0,0,0,2,0,3,1,0,0,2,3,4,0,2,4,4,4,4,2,2,4,2,3,3,4,4,3,0,4,4,2,4,4,2,3,3,4,4,4,4"
6,1.3729163539069464,"2,2,2,4,3,0,0,0,1,3,0,1,4,1,4,2,3,3,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,1,0,1,4,1,1,4,4,4,4,4,1,2,3,3,2,0,2,4,3,4,3,4,4,0,2,2,4,0,3,0,4,4,3,1,3,2,2,0,0,0,3,0,2,1,4,4,4,1,1,2,0,4,0,3,2,4,3,0,1,2,1,4,0,3,0,4,4,2,2,3,2,3,4,0,4,4,3,2,0,1,3,0,2,0,3,4,4,2,0,4,4,2,1,3,2,1,4,4,4,2,1,2,3,4,0,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,3,1,2,3,0,2,2,4,0,4,4,2,0,0,0,2,4,2,3,0,4,3,3,4,4,0,3,0,3,2,4,4,2,0,0,4,2,3,0,0,1,4,3,2,4,4,1,2,3,1,1,1,2,4,4,2,4,2,2,4,1,4,2,4,4,3,0,2,4,4,3,4,2,2,0,3,3,4,0,0,4,0,0,3,3,4,1,1,4,4,2,0,3,4,4,4,3,2,2,3,1,2,0,2,1,0,2,4,4,1,2,4,2,4,3,3,3,4,4,4"
7,1.3735384330576386,"2,2,2,4,3,0,0,0,1,3,2,1,4,1,4,2,3,3,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,4,0,1,4,1,1,4,4,4,4,4,1,2,3,3,2,0,2,4,3,4,3,4,4,0,2,2,4,0,3,0,4,4,4,4,3,2,2,0,0,0,3,0,2,1,4,4,4,1,1,2,0,4,0,3,2,4,3,0,1,2,1,4,0,3,2,4,1,4,4,0,0,1,3,4,0,3,2,4,2,3,1,2,2,3,3,4,4,2,0,4,0,2,1,2,2,1,4,4,4,2,1,2,3,4,0,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,3,1,2,3,0,2,2,4,0,4,4,2,0,0,0,2,1,2,3,0,4,3,3,4,4,0,3,4,3,2,4,4,2,0,0,4,2,3,0,0,1,4,0,2,4,4,1,2,3,1,1,1,2,4,4,2,4,4,2,3,1,4,2,4,4,3,1,2,4,4,3,4,2,2,0,3,3,4,0,0,4,0,0,3,3,4,1,1,4,4,2,3,3,4,4,4,3,2,2,3,1,2,0,2,1,4,3,0,4,4,2,4,4,4,3,3,4,1,4,4"
8,1.372635787849444,"4,2,2,4,3,0,0,0,1,3,2,1,4,1,4,2,3,3,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,4,0,1,2,1,1,4,4,4,4,1,1,2,3,3,2,0,2,4,3,4,3,4,4,0,2,2,4,0,2,0,4,4,4,4,3,2,2,0,0,0,3,0,2,1,4,1,4,1,1,2,0,4,0,3,2,4,3,0,1,2,1,4,0,3,2,4,1,4,4,0,0,1,3,4,0,0,2,4,2,3,1,2,2,3,3,4,4,2,0,4,0,2,1,2,2,1,4,4,3,2,1,2,4,4,2,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,0,1,2,3,0,2,2,4,0,4,4,2,0,0,0,2,3,2,3,0,4,4,3,4,4,0,3,4,3,2,2,4,2,0,0,4,2,3,0,0,1,4,0,2,4,4,1,2,3,1,1,1,0,4,4,2,4,4,2,3,1,2,2,4,4,3,1,2,4,4,3,4,3,2,0,3,3,4,0,0,4,0,0,3,3,4,1,4,4,4,2,3,3,4,4,4,3,2,2,3,1,2,0,4,1,4,3,0,4,4,2,1,2,4,3,3,3,4,4,4"
9,1.3737084764472793,"4,2,2,4,3,0,0,0,1,3,2,1,4,1,4,2,3,2,3,2,0,4,3,3,2,0,3,2,1,4,3,0,4,0,4,0,1,2,1,1,4,4,4,4,1,1,2,3,4,2,0,2,4,3,4,3,4,4,1,2,2,4,0,2,0,4,4,4,4,3,2,2,0,0,0,3,0,2,1,4,4,4,1,1,2,3,4,0,3,2,4,3,0,1,2,1,4,0,3,0,4,4,2,2,3,2,3,4,0,4,4,3,2,0,1,3,0,0,0,2,4,4,2,0,4,4,2,1,3,2,1,4,4,4,2,1,2,3,4,0,4,0,4,2,3,1,2,0,2,1,2,1,2,2,4,4,2,4,3,1,2,3,0,1,2,4,0,4,4,2,0,0,0,2,4,2,3,0,4,3,3,4,3,2,3,2,3,4,4,4,2,0,0,4,2,3,0,0,1,4,3,2,4,4,1,1,2,1,2,1,2,4,4,2,4,0,2,4,3,4,2,0,4,3,0,2,4,4,3,4,2,2,1,3,3,4,4,0,1,0,0,3,3,4,4,1,4,4,2,0,3,4,2,4,3,2,2,2,4,2,3,4,4,4,3,4,4,2,2,4,2,4,3,3,2,4,4,4"
