subject_index,subject_name,cluster,distance_to_medoid
0,B_Australian-3,2,0.7775633456017729
1,B_Australian-4,3,0.6466866201088127
2,B_Crete-1,1,0.7223054678585099
3,B_Crete-2,0,0.7686573725673149
4,B_Dai-4,3,0.7996116370143002
5,B_Dinka-3,4,0.7796175292181802
6,B_French-3,4,0.8377438071583514
7,B_Han-3,2,0.7040906614071342
8,B_Ju_hoan_North-4,4,0.7906317497680846
9,B_Karitiana-3,0,0.6831531721958525
10,B_Mandenka-3,4,0.7675499457588991
11,B_Mbuti-4,4,0.7834416695638187
12,B_Mixe-1,0,0.6677474751171114
13,B_Papuan-15,3,0.5985239146477833
14,B_Sardinian-3,3,0.8388089032608996
15,B_Yoruba-3,4,0.7453315568418701
16,S_Abkhasian-1,4,0.8495745311591337
17,S_Abkhasian-2,1,0.7457254182697336
18,S_Adygei-1,1,0.7501857330114879
19,S_Adygei-2,1,0.7355327100613682
20,S_Albanian-1,1,0.7396716334750634
21,S_Aleut-1,0,0.7110718589723629
22,S_Aleut-2,2,0.7579452393262334
23,S_Altaian-1,3,0.810691477779083
24,S_Ami-1,3,0.8031529795754776
25,S_Ami-2,2,0.6810263396042364
26,S_Armenian-1,0,0.7922919853230919
27,S_Armenian-2,1,0.7266981726181336
28,S_Atayal-1,2,0.6648107374349701
29,S_Balochi-1,1,0.7430365971576302
30,S_Balochi-2,3,0.7985484296566399
31,S_BantuHerero-1,4,0.7593670710545931
32,S_BantuHerero-2,4,0.7779367564337405
33,S_BantuKenya-1,4,0.7525860089047212
34,S_BantuKenya-2,4,0.7524359208139356
35,S_BantuTswana-1,4,0.752759854091537
36,S_BantuTswana-2,4,0.7576172202792874
37,S_Basque-1,0,0.7582108311963566
38,S_Basque-2,1,0.7133705479640234
39,S_BedouinB-1,4,0.8430957194862011
40,S_BedouinB-2,4,0.8254798395931049
41,S_Bengali-1,3,0.79108512353232
42,S_Bengali-2,3,0.8011303843048001
43,S_Bergamo-1,1,0.7287792491691315
44,S_Bergamo-2,1,0.7472743294381745
45,S_Biaka-1,4,0.7678331360947762
46,S_Biaka-2,4,0.7615794357032026
47,S_Bougainville-1,3,0.6666988479855988
48,S_Bougainville-2,3,0.6686581873843782
49,S_Brahmin-1,1,0.7510442598122797
50,S_Brahmin-2,1,0.7449629063925393
51,S_Brahui-1,1,0.7399041585170512
52,S_Brahui-2,1,0.7635079776704762
53,S_Bulgarian-1,1,0.74810503642175
54,S_Bulgarian-2,4,0.8407573483125752
55,S_Burmese-1,3,0.7672363416210667
56,S_Burmese-2,3,0.762610578831284
57,S_Burusho-1,4,0.8447850986066044
58,S_Burusho-2,1,0.7601280997103398
59,S_Cambodian-1,2,0.6900118177158261
60,S_Cambodian-2,2,0.6952766139888673
61,S_Chane-1,0,0.6450724118319563
62,S_Chechen-1,1,0.7274235841906556
63,S_Chukchi-1,0,0.724321319518414
64,S_Czech-2,0,0.7910262566220849
65,S_Dai-1,3,0.7742386635499744
66,S_Dai-2,3,0.7784204590907607
67,S_Dai-3,2,0.6897023186404869
68,S_Daur-2,2,0.7048715596644012
69,S_Dinka-1,4,0.7739817983490854
70,S_Dinka-2,4,0.7558729686827605
71,S_Druze-1,1,0.732125046891936
72,S_Druze-2,1,0.7274554238976694
73,S_Dusun-1,0,0.7767869796083988
74,S_Dusun-2,3,0.7967080799749509
75,S_English-1,1,0.7047163349005748
76,S_English-2,4,0.8498507034749613
77,S_Esan-1,4,0.7707620619199637
78,S_Esan-2,4,0.7509592144028795
79,S_Eskimo_Chaplin-1,0,0.7184726481124453
80,S_Eskimo_Naukan-1,2,0.7428758470121253
81,S_Eskimo_Naukan-2,0,0.7454099330624654
82,S_Eskimo_Sireniki-1,2,0.7281564131874827
83,S_Eskimo_Sireniki-2,0,0.7113670959658084
84,S_Estonian-1,1,0.7052207671452743
85,S_Estonian-2,1,0.7083712423542282
86,S_Even-1,2,0.717782542017081
87,S_Even-2,2,0.7188254436263914
88,S_Even-3,2,0.7078231798880321
89,S_Finnish-1,1,0.717736854728617
90,S_Finnish-2,0,0.7832649521984013
91,S_Finnish-3,0,0.7820748013125599
92,S_French-1,1,0.732481128066051
93,S_French-2,1,0.7344774519831972
94,S_Gambian-1,4,0.7526982627434787
95,S_Gambian-2,4,0.7654559854766052
96,S_Georgian-1,1,0.7191209761295193
97,S_Georgian-2,4,0.8165653726783816
98,S_Greek-1,1,0.7230150872314979
99,S_Greek-2,1,0.735552203278212
100,S_Han-1,2,0.671150310429687
101,S_Han-2,2,0.0
102,S_Hawaiian-1,2,0.6930961827025508
103,S_Hazara-1,0,0.7441542130913421
104,S_Hazara-2,2,0.773987932455876
105,S_Hezhen-1,3,0.781848895080956
106,S_Hezhen-2,2,0.7186256919936357
107,S_Hungarian-1,1,0.7173465129579468
108,S_Hungarian-2,1,0.7243008191921075
109,S_Icelandic-1,1,0.0
110,S_Icelandic-2,1,0.7029570937344043
111,S_Igorot-1,2,0.6733740217054406
112,S_Igorot-2,2,0.6911830289100418
113,S_Iranian-1,1,0.7664693274421513
114,S_Iranian-2,1,0.7366050344723332
115,S_Iraqi_Jew-1,1,0.7521015036974802
116,S_Iraqi_Jew-2,0,0.8164691036077856
