generation,fitness,chromosome
0,1.2766066469236885,"0,3,1,0,2,4,4,1,0,4,0,1,0,0,2,3,0,0,2,4,2,4,2,1,1,2,1,4,1,0,2,2,0,3,4,4,1,1,0,0,1,2,4,1,2,3,2,3,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,1,4,1,4,0,0,3,1,4,3,2,3,0,1,0,1,0,2,2,1,2,3,1,0,1,4,2,4,1,3,4,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,2,2,3,3,3,4,0,3,3,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,4,2,3,2,0,4,3,3,4,3,2,3,3,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,3,3,0,4,3,2,0,4,2,2,4,3,1,0,4,0,2,1,2,1,1,4,0,1,1,0,1,2,2,3,0,0,1,4,4,4,2,3,0,4,1,1,0,1,2,0,3,4,3,2,0,4,4,1,4,4,4,1,4,4,3,1,1,3,3,4,3,2,0,3,2,3,1,4,4,2,3,1"
1,1.3108586992676943,"0,3,1,0,2,4,4,1,0,4,0,1,0,0,2,3,0,0,2,4,2,4,2,1,1,2,1,4,1,0,2,2,4,3,4,4,1,1,0,0,1,2,4,1,1,3,2,3,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,3,3,1,2,0,4,4,4,0,2,3,4,1,0,4,2,2,4,3,3,1,4,2,0,4,3,2,4,1,1,4,0,2,4,3,2,0,0,3,4,3,4,1,2,4,2,3,2,0,4,1,4,2,1,4,2,2,0,1,2,1,2,4,4,0,3,2,2,1,3,1,4,3,1,2,2,3,4,0,1,0,1,3,3,4,0,2,3,0,2,2,1,3,4,2,0,1,2,3,1,1,4,4,2,1,4,3,2,0,0,1,2,1,1,2,3,1,0,2,2,0,4,3,0,2,2,3,1,1,1,0,4,1,4,4,3,2,3,0,4,0,0,0,0,2,0,3,4,0,4,0,3,3,3,1,2,0,3,3,4,3,2,1,1,3,4,0,3,1,2,3,2,0,0,3,3,2,1,3,4,0,4,1,2,4,1,3,0,0,1,0,3,1,4,0,1,2,4,4,3,1,4,0,0,0,2,3,2"
2,1.3608925771506284,"0,3,1,0,2,4,4,1,0,4,0,1,0,0,2,3,0,0,2,4,2,4,0,1,1,2,1,4,1,0,2,2,4,3,4,4,1,1,0,0,1,2,4,1,1,3,2,3,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,1,4,1,4,0,0,3,1,4,3,2,3,0,1,0,1,0,2,2,1,2,3,1,0,1,4,2,4,1,3,4,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,4,2,3,2,0,4,3,3,4,3,2,3,3,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,3,3,0,4,3,2,0,4,2,2,4,3,1,0,4,0,2,1,2,1,1,4,0,1,1,0,4,2,2,3,0,0,1,4,4,4,2,3,2,2,0,3,2,3,0,4,2,0,0,4,0,2,0,2,0,3,0,0,1,3,2,4,1,2,1,1,2,4,1,3,2,0,3,2,2,0,4,1"
3,1.3651477894336534,"0,3,1,2,2,4,4,1,0,4,0,1,3,0,2,3,0,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,0,1,2,1,1,0,3,2,3,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,1,4,0,0,3,1,4,3,2,3,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,0,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,0,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,0,3,0,4,3,2,0,4,2,2,4,3,1,0,4,0,2,1,2,1,1,4,0,1,1,0,4,2,2,4,2,1,1,1,4,4,2,4,2,1,0,3,2,3,0,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,4,2,0,3,2,2,3,0,3"
4,1.349344831090253,"0,3,1,2,2,4,4,1,0,4,0,1,3,0,2,3,3,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,0,1,2,4,1,0,3,2,3,4,0,1,1,3,0,1,4,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,1,4,0,0,3,1,4,3,2,3,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,0,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,1,3,3,3,4,0,2,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,0,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,0,3,0,4,3,2,0,4,2,2,4,3,1,0,4,0,2,1,0,1,1,4,0,1,1,4,4,2,2,4,3,2,1,1,4,4,2,4,2,1,0,3,2,3,0,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,4,2,0,3,2,2,3,0,3"
5,1.350953076102209,"0,3,1,2,2,4,4,1,0,4,0,1,3,0,2,3,3,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,0,1,2,4,1,0,3,2,3,4,0,1,2,3,0,1,4,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,0,2,3,3,4,2,3,3,0,3,4,2,0,1,1,4,0,0,3,1,0,3,2,3,0,1,0,1,0,3,2,1,2,3,1,0,1,4,2,4,1,3,0,0,1,2,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,1,3,1,2,0,1,0,2,2,3,2,0,4,3,3,2,3,1,0,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,0,3,0,4,3,2,0,4,2,2,4,3,1,0,4,0,2,1,2,1,1,4,0,1,1,0,4,2,2,3,2,1,1,1,4,4,2,4,2,1,0,3,2,3,0,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,3,2,0,3,2,2,4,0,3"
6,1.3657050315077484,"0,3,1,2,2,4,4,1,0,4,0,1,3,0,2,3,0,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,1,1,2,1,1,0,3,3,2,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,2,4,0,0,3,1,4,3,2,4,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,1,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,2,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,3,2,0,0,3,0,3,0,4,3,2,0,4,0,2,4,3,1,0,4,0,1,1,2,0,1,4,0,1,1,0,4,2,2,4,2,1,1,1,4,4,2,4,2,1,0,3,2,3,0,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,3,2,0,3,2,2,3,0,3"
7,1.366322713684723,"0,3,1,2,2,4,4,2,0,4,3,1,3,0,2,3,0,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,1,1,2,1,1,0,3,3,2,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,2,4,0,0,3,1,4,3,2,4,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,1,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,2,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,0,2,0,0,0,0,3,0,4,1,2,0,4,0,0,4,3,1,0,4,0,2,1,2,3,1,4,0,1,1,3,4,1,2,4,2,1,1,1,4,4,2,2,3,1,0,3,2,3,0,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,3,2,0,3,2,2,3,0,0"
8,1.3646631072506654,"0,3,1,2,2,4,4,2,0,4,3,1,3,0,2,3,0,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,1,1,2,1,1,0,3,3,2,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,2,4,0,0,3,1,4,3,2,4,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,1,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,3,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,2,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,0,2,0,0,0,0,3,0,4,1,2,0,4,0,0,4,3,1,0,4,0,2,1,2,3,1,4,2,2,1,0,4,1,2,4,2,1,1,1,4,4,2,2,3,1,0,3,2,3,3,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,3,2,0,3,2,2,3,0,0"
9,1.3668398116915204,"0,3,1,2,2,4,4,2,0,4,3,1,3,0,2,3,0,0,2,4,2,4,0,1,4,2,1,4,1,0,2,2,4,3,4,4,1,1,0,1,1,2,1,1,0,3,3,2,4,0,1,1,3,0,1,3,1,2,0,2,4,2,0,4,4,4,2,1,0,1,1,4,3,0,1,2,3,3,4,2,3,1,0,3,4,2,0,4,2,4,0,0,3,1,4,3,2,4,0,1,0,1,0,0,2,1,2,3,1,0,1,4,2,4,1,3,1,0,1,3,2,4,1,3,3,3,2,4,3,1,1,1,1,1,3,0,0,3,0,0,2,3,3,3,4,0,1,1,2,3,1,4,1,3,2,1,4,3,1,2,0,1,0,2,2,3,2,2,4,3,3,4,3,2,3,4,2,4,3,3,4,2,3,3,0,4,4,3,4,4,2,2,4,0,4,0,2,0,0,0,0,3,0,4,1,2,0,4,0,0,4,3,1,0,4,0,2,1,2,3,1,4,2,2,1,0,4,1,0,4,2,1,1,1,4,4,2,2,3,1,0,3,2,3,3,4,2,4,3,3,0,2,4,0,1,0,3,0,1,0,2,4,4,2,1,1,4,2,3,3,2,4,3,2,2,3,0,0"
