subject_index,subject_name,cluster,distance_to_medoid
0,B_Australian-3,0,0.7775633456017729
1,B_Australian-4,0,0.7723387120616281
2,B_Crete-1,1,0.722379833530299
3,B_Crete-2,1,0.7074769359619004
4,B_Dai-4,0,0.701512271481266
5,B_Dinka-3,3,0.7796175292181802
6,B_French-3,1,0.7266125503371517
7,B_Han-3,0,0.7040906614071342
8,B_Ju_hoan_North-4,3,0.7906317497680846
9,B_Karitiana-3,4,0.7984432969252171
10,B_Mandenka-3,3,0.7675499457588991
11,B_Mbuti-4,3,0.7834416695638187
12,B_Mixe-1,2,0.6493148579376722
13,B_Papuan-15,0,0.7747401548658234
14,B_Sardinian-3,1,0.7259631294140695
15,B_Yoruba-3,3,0.7453315568418701
16,S_Abkhasian-1,1,0.7289099988402906
17,S_Abkhasian-2,4,0.7287816460021768
18,S_Adygei-1,1,0.745513875409943
19,S_Adygei-2,1,0.7432932541600998
20,S_Albanian-1,1,0.7594429326865728
21,S_Aleut-1,2,0.7268896749491379
22,S_Aleut-2,2,0.7707014833501977
23,S_Altaian-1,2,0.753038880552206
24,S_Ami-1,0,0.6968461240975842
25,S_Ami-2,2,0.7706290309219666
26,S_Armenian-1,1,0.7235849794334535
27,S_Armenian-2,4,0.772876938898708
28,S_Atayal-1,0,0.6648107374349701
29,S_Balochi-1,3,0.84279390131715
30,S_Balochi-2,3,0.8478364171855912
31,S_BantuHerero-1,3,0.7593670710545931
32,S_BantuHerero-2,3,0.7779367564337405
33,S_BantuKenya-1,3,0.7525860089047212
34,S_BantuKenya-2,3,0.7524359208139356
35,S_BantuTswana-1,3,0.752759854091537
36,S_BantuTswana-2,3,0.7576172202792874
37,S_Basque-1,1,0.7028595613882117
38,S_Basque-2,1,0.7011327767595208
39,S_BedouinB-1,3,0.8430957194862011
40,S_BedouinB-2,3,0.8254798395931049
41,S_Bengali-1,4,0.7351139016091004
42,S_Bengali-2,4,0.73545425506968
43,S_Bergamo-1,1,0.7292436788123214
44,S_Bergamo-2,1,0.7163035435692382
45,S_Biaka-1,3,0.7678331360947762
46,S_Biaka-2,3,0.7615794357032026
47,S_Bougainville-1,0,0.765475576536719
48,S_Bougainville-2,0,0.7451909311296979
49,S_Brahmin-1,4,0.7420875856013057
50,S_Brahmin-2,4,0.7448467535029282
51,S_Brahui-1,4,0.7214770284127009
52,S_Brahui-2,4,0.7581148493330224
53,S_Bulgarian-1,1,0.7151506274906436
54,S_Bulgarian-2,1,0.7295090131392323
55,S_Burmese-1,0,0.675849533038327
56,S_Burmese-2,0,0.6814055852361841
57,S_Burusho-1,4,0.7304342443857468
58,S_Burusho-2,4,0.7594896180049658
59,S_Cambodian-1,0,0.6900118177158261
60,S_Cambodian-2,0,0.6952766139888673
61,S_Chane-1,2,0.6556453757202761
62,S_Chechen-1,1,0.7317884278570725
63,S_Chukchi-1,2,0.7467984265472977
64,S_Czech-2,4,0.7427767446463382
65,S_Dai-1,0,0.660906419025532
66,S_Dai-2,0,0.6801457050735423
67,S_Dai-3,0,0.6897023186404869
68,S_Daur-2,2,0.7915339884910814
69,S_Dinka-1,3,0.7739817983490854
70,S_Dinka-2,3,0.7558729686827605
71,S_Druze-1,4,0.7358775876451624
72,S_Druze-2,1,0.7611056010846143
73,S_Dusun-1,0,0.7050821117494216
74,S_Dusun-2,0,0.7004045870251893
75,S_English-1,1,0.7289868013636996
76,S_English-2,1,0.6894925843019148
77,S_Esan-1,3,0.7707620619199637
78,S_Esan-2,3,0.7509592144028795
79,S_Eskimo_Chaplin-1,2,0.7488115952473582
80,S_Eskimo_Naukan-1,2,0.7317604644919047
81,S_Eskimo_Naukan-2,2,0.710948476207266
82,S_Eskimo_Sireniki-1,2,0.7270925934409852
83,S_Eskimo_Sireniki-2,2,0.7173828450980665
84,S_Estonian-1,1,0.7356170915426576
85,S_Estonian-2,4,0.7153861254589868
86,S_Even-1,2,0.7493240340329738
87,S_Even-2,2,0.7296762269423674
88,S_Even-3,2,0.7520641972536622
89,S_Finnish-1,1,0.7326522763049855
90,S_Finnish-2,1,0.7099044302356425
91,S_Finnish-3,1,0.7158284259786345
92,S_French-1,1,0.7235210682207961
93,S_French-2,1,0.7232240068444227
94,S_Gambian-1,3,0.7526982627434787
95,S_Gambian-2,3,0.7654559854766052
96,S_Georgian-1,1,0.7291852631315671
97,S_Georgian-2,1,0.7243860027597219
98,S_Greek-1,1,0.7081257906753644
99,S_Greek-2,4,0.7605430059174024
100,S_Han-1,0,0.671150310429687
101,S_Han-2,0,0.0
