generation,fitness,chromosome
0,1.3665298066079836,"2,0,0,1,1,2,1,1,4,0,1,2,1,2,4,2,4,4,0,3,4,2,3,1,3,1,1,1,0,3,1,3,3,2,4,1,0,0,2,4,1,0,4,0,0,3,1,4,4,2,1,3,4,1,4,2,0,0,0,1,1,4,4,1,4,0,3,3,4,3,3,0,2,1,0,0,1,4,4,2,0,0,1,1,1,0,1,3,3,3,3,0,1,3,4,3,2,4,1,3,0,1,1,2,0,4,4,3,1,2,0,1,3,2,0,3,0,2,4,4,0,1,3,4,0,2,0,3,3,0,3,1,2,4,4,3,3,1,3,2,2,2,0,2,1,1,2,3,2,0,2,0,0,0,4,4,0,4,3,2,2,3,0,4,1,2,4,0,0,3,2,1,3,0,0,1,4,4,3,2,0,3,4,2,2,0,4,3,4,2,3,2,1,4,2,0,0,3,4,4,0,0,2,1,2,3,2,0,1,0,4,3,0,1,2,0,1,1,0,3,0,3,3,2,2,4,1,1,3,0,2,4,3,4,3,3,3,4,3,3,0,2,4,1,0,2,0,2,2,4,3,3,0,1,4,4,2,1,3,4,0,1,2,3,3,3,1,2,1,0,1,4,4,4,1,1,4,4"
1,1.3682616147414777,"3,0,2,1,1,2,1,1,4,0,4,4,4,3,1,4,3,3,3,3,4,4,0,3,0,2,0,3,0,0,0,4,4,0,4,0,1,1,1,1,3,1,0,4,2,3,4,2,3,2,3,1,3,2,3,4,3,0,2,3,1,0,1,1,2,0,2,0,3,0,4,3,1,4,0,0,0,4,1,2,3,4,1,2,0,3,4,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,3,2,4,4,4,1,3,2,3,2,1,3,2,0,1,2,0,0,3,4,2,3,4,2,3,4,1,3,4,1,0,0,4,0,2,2,2,0,2,3,1,4,0,1,1,1,1,3,4,4,0,2,1,2,0,0,0,0,4,1,3,1,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,1,0,0,0,4,4,1,2,2,0,1,3,3,4,2,1,3,2,3,1,3,3,1,3,3,4,4,2,4,2,3,0,4,1,0,1,3,2,1,3,2,4,0,1,1,3,3,4,4,0,2,3,4,1,1,1,0,2,4,2,2,4,4,2,1,1,4,4,3,3,3,0,0,0,0,4,3,3"
2,1.3708620133292124,"3,0,2,1,1,3,1,1,4,0,4,4,4,3,1,4,2,3,3,2,4,4,0,3,0,4,0,3,3,0,0,0,4,0,4,0,1,1,1,2,3,1,0,2,2,4,4,2,3,2,3,3,3,2,3,4,3,0,2,2,1,0,2,1,0,0,3,0,3,0,2,3,3,4,0,0,0,4,1,2,3,4,1,2,0,3,4,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,3,2,4,4,4,1,3,2,3,2,1,3,2,0,1,2,0,0,3,4,2,3,4,2,3,4,1,3,4,1,0,0,4,0,2,2,2,2,2,3,1,4,0,1,1,1,1,3,4,4,0,2,1,2,0,0,0,0,4,1,3,1,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,1,0,0,0,2,4,1,2,2,0,1,3,3,2,2,1,3,2,3,4,4,0,0,3,0,0,3,4,2,2,3,2,1,0,2,2,3,0,0,4,2,3,2,4,3,3,3,3,3,3,1,2,0,3,1,4,4,4,4,2,4,4,2,3,1,1,2,2,3,2,3,2,0,1,1,3,2,2"
3,1.3723939335571687,"3,0,2,1,1,3,1,1,4,0,4,4,4,3,2,4,2,3,3,2,4,4,0,3,0,3,0,3,3,0,0,0,4,0,1,0,1,1,1,2,3,2,0,2,2,4,4,2,3,2,3,3,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,0,2,3,3,4,0,0,0,4,1,2,3,4,1,2,0,3,4,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,3,2,4,3,4,1,3,2,3,2,1,3,2,0,1,2,0,0,3,3,2,3,4,2,2,1,1,3,4,1,0,0,4,0,2,2,2,2,2,3,1,4,0,3,1,1,1,3,4,4,0,2,1,2,1,0,0,0,4,1,3,1,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,1,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,2,2,3,2,4,0,0,3,0,0,3,4,2,2,3,2,1,0,2,2,3,3,0,4,2,3,2,4,3,3,3,3,3,3,1,2,0,3,1,4,4,4,4,2,4,2,3,3,2,1,0,0,1,2,4,0,1,0,1,4,3,3"
4,1.3733081726075353,"3,0,2,1,1,3,1,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,1,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,3,2,3,3,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,1,2,3,3,1,0,0,0,4,1,2,3,4,1,2,0,3,4,4,3,1,4,0,0,2,1,4,2,3,3,2,0,2,3,2,1,0,4,1,3,2,3,2,1,3,2,0,1,0,0,0,3,3,2,3,4,2,2,1,1,3,2,1,0,0,4,0,2,2,2,2,0,3,1,4,0,2,1,1,1,2,4,4,0,2,1,2,1,0,0,0,4,1,3,1,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,3,2,3,2,4,0,0,3,0,0,3,4,2,2,3,2,1,0,2,2,2,3,3,4,2,3,2,4,3,3,1,3,1,3,1,3,3,3,0,4,4,4,1,2,2,2,1,3,2,1,0,0,1,2,0,0,0,0,1,4,3,0"
5,1.3742878674970407,"3,0,2,1,1,4,3,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,3,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,3,2,3,3,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,1,2,3,3,1,0,0,0,4,1,2,3,4,1,2,0,3,4,4,3,1,4,0,0,2,1,4,2,3,3,2,0,2,3,2,1,0,1,1,3,2,3,2,1,3,2,0,1,0,0,0,3,3,2,3,4,2,2,1,1,3,2,1,0,0,4,0,2,2,2,2,0,3,1,4,0,2,1,1,1,2,4,4,0,2,1,2,1,0,0,0,4,1,3,1,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,3,2,3,2,4,0,0,3,0,0,3,4,2,2,3,2,1,0,2,2,2,3,3,4,2,3,2,4,3,3,1,3,1,3,1,3,3,3,0,4,4,4,2,2,2,2,1,3,2,1,0,0,1,2,0,0,0,0,1,4,3,0"
6,1.3741531654986316,"3,0,2,1,1,4,3,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,3,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,0,2,3,2,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,1,2,3,3,3,0,0,0,4,1,0,3,4,1,2,0,3,0,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,3,2,3,3,4,1,3,2,3,2,1,3,1,0,1,2,0,0,3,3,4,4,1,2,2,1,1,3,4,1,0,0,4,0,2,2,2,3,1,3,3,4,0,3,1,1,1,3,4,4,0,2,1,2,1,2,0,0,4,1,3,0,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,0,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,3,2,3,2,4,0,0,3,0,0,3,4,2,2,3,2,1,0,2,2,2,3,3,4,2,3,2,4,3,3,1,3,1,4,1,3,3,3,0,4,4,4,2,2,2,2,1,3,2,1,0,0,1,2,0,0,0,1,1,4,3,0"
7,1.3754296981725989,"3,0,2,1,1,4,3,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,3,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,0,2,3,2,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,1,2,3,3,3,0,0,0,4,1,0,3,4,1,2,0,3,0,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,3,2,3,3,4,1,3,2,3,2,1,3,1,0,1,2,0,0,3,3,4,4,1,2,2,1,1,3,4,1,0,0,4,0,2,2,2,3,1,3,3,4,0,3,3,1,1,3,4,4,0,2,1,2,1,2,0,0,4,1,3,0,3,3,0,0,0,1,2,3,1,0,3,4,0,0,0,2,0,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,3,2,3,2,3,0,0,3,0,2,3,4,2,2,3,2,1,0,2,2,2,3,3,4,3,3,2,4,3,3,3,3,3,3,1,2,0,3,1,4,0,0,1,2,4,2,3,3,2,1,0,0,1,2,4,3,1,0,1,4,3,1"
8,1.3753366589112128,"3,0,2,1,1,4,3,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,3,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,0,2,3,2,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,0,2,3,3,2,0,0,0,4,1,0,3,4,1,2,0,3,2,4,3,2,4,1,0,2,1,4,2,3,3,2,2,2,3,3,4,3,4,1,3,2,3,2,1,3,2,0,1,2,0,0,3,3,2,3,4,2,2,1,1,3,3,1,0,0,4,0,1,2,2,2,2,3,1,4,0,2,1,1,1,3,4,1,0,2,1,2,1,0,0,0,4,1,2,1,3,3,0,0,0,1,2,0,1,0,3,4,0,0,0,2,3,2,2,1,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,2,2,3,2,4,0,0,3,3,0,3,4,2,2,3,2,3,0,2,2,3,3,0,4,2,3,2,4,3,3,3,3,3,3,1,2,0,3,1,4,0,0,4,2,4,2,3,3,2,1,0,0,1,2,4,4,0,1,1,4,3,0"
9,1.3775574821134564,"3,0,2,1,1,4,3,1,4,0,4,4,4,3,2,4,2,3,3,2,1,4,0,3,0,3,0,3,3,0,3,0,4,0,1,1,1,1,1,2,3,2,0,2,2,4,4,2,0,2,3,2,3,2,3,4,1,0,2,2,1,0,2,1,0,0,3,0,3,1,2,3,3,3,0,0,3,4,1,0,3,4,1,2,0,3,0,4,3,2,4,0,0,2,1,4,2,3,3,2,2,2,0,2,3,3,4,1,3,2,3,2,1,3,1,0,1,2,0,0,3,3,2,3,4,2,2,1,1,3,3,0,0,0,4,0,1,2,2,2,2,3,1,4,0,2,1,1,1,3,4,4,0,2,1,2,1,2,0,0,4,1,3,0,3,3,0,0,0,1,4,3,1,0,3,4,0,0,0,2,0,2,2,2,2,2,1,2,2,2,2,1,1,3,2,2,0,3,0,0,0,0,0,0,2,4,1,2,2,0,1,3,3,0,2,1,3,2,3,2,3,3,0,3,0,2,3,4,2,2,3,2,3,0,2,2,2,3,3,4,2,3,2,4,3,3,1,2,1,3,3,3,3,3,0,4,4,4,2,2,2,2,1,3,2,1,0,0,1,2,0,4,0,0,1,4,3,0"
